,FullGeoName,Year,Travel status,County,Count,Legend,Notes,LegendInts
71,"GA, Forsyth",2023,All,13117,1 to 4,1 to 4,"GA, Forsyth County",4
72,"GA, Glynn",2023,All,13127,1 to 4,1 to 4,"GA, Glynn County",4
73,"GA, Lumpkin",2023,All,13187,1 to 4,1 to 4,"GA, Lumpkin County",4
74,"GA, Walton",2023,All,13297,1 to 4,1 to 4,"GA, Walton County",4
75,"HI, Hawaii",2023,All,15001,1 to 4,1 to 4,"HI, Hawaii County",4
76,"HI, Honolulu",2023,All,15003,1 to 4,1 to 4,"HI, Honolulu, City and County of",4
77,"HI, Kauai",2023,All,15007,1 to 4,1 to 4,"HI, Kauai County",4
78,"ID, Ada",2023,All,16001,1 to 4,1 to 4,"ID, Ada County",4
79,"ID, Blaine",2023,All,16013,1 to 4,1 to 4,"ID, Blaine County",4
80,"ID, Bonneville",2023,All,16019,1 to 4,1 to 4,"ID, Bonneville County",4
81,"IL, Kane",2023,All,17089,1 to 4,1 to 4,"IL, Kane County",4
82,"IL, Lake",2023,All,17097,1 to 4,1 to 4,"IL, Lake County",4
83,"IL, Mchenry",2023,All,17111,1 to 4,1 to 4,"IL, McHenry County",4
84,"IL, Macon",2023,All,17115,1 to 4,1 to 4,"IL, Macon County",4
85,"IL, Peoria",2023,All,17143,1 to 4,1 to 4,"IL, Peoria County",4
86,"IL, Will",2023,All,17197,1 to 4,1 to 4,"IL, Will County",4
87,"IN, Boone",2023,All,18011,1 to 4,1 to 4,"IN, Boone County",4
88,"IN, Clark",2023,All,18019,1 to 4,1 to 4,"IN, Clark County",4
89,"IN, Elkhart",2023,All,18039,1 to 4,1 to 4,"IN, Elkhart County",4
90,"IN, Hamilton",2023,All,18057,1 to 4,1 to 4,"IN, Hamilton County",4
91,"IN, Hendricks",2023,All,18063,1 to 4,1 to 4,"IN, Hendricks County",4
92,"IN, Johnson",2023,All,18081,1 to 4,1 to 4,"IN, Johnson County",4
93,"IN, Lake",2023,All,18089,1 to 4,1 to 4,"IN, Lake County",4
94,"IN, Marion",2023,All,18097,1 to 4,1 to 4,"IN, Marion County",4
95,"IA, Johnson",2023,All,19103,1 to 4,1 to 4,"IA, Johnson County",4
96,"IA, Linn",2023,All,19113,1 to 4,1 to 4,"IA, Linn County",4
97,"IA, Polk",2023,All,19153,1 to 4,1 to 4,"IA, Polk County",4
98,"IA, Story",2023,All,19169,1 to 4,1 to 4,"IA, Story County",4
99,"KS, Ford",2023,All,20057,1 to 4,1 to 4,"KS, Ford County",4
100,"KS, Johnson",2023,All,20091,1 to 4,1 to 4,"KS, Johnson County",4
101,"KY, Livingston",2023,All,21139,1 to 4,1 to 4,"KY, Livingston County",4
102,"KY, Spencer",2023,All,21215,1 to 4,1 to 4,"KY, Spencer County",4
103,"KY, Warren",2023,All,21227,1 to 4,1 to 4,"KY, Warren County",4
104,"LA, Jefferson Parish",2023,All,22051,1 to 4,1 to 4,"LA, Jefferson Parish",4
105,"LA, Jefferson Davis Parish",2023,All,22053,1 to 4,1 to 4,"LA, Jefferson Davis Parish",4
106,"LA, Tangipahoa Parish",2023,All,22105,1 to 4,1 to 4,"LA, Tangipahoa Parish",4
107,"MD, Baltimore",2023,All,24005,1 to 4,1 to 4,"MD, Baltimore County",4
108,"MD, Carroll",2023,All,24013,1 to 4,1 to 4,"MD, Carroll County",4
109,"MD, Charles",2023,All,24017,1 to 4,1 to 4,"MD, Charles County",4
110,"MD, Frederick",2023,All,24021,1 to 4,1 to 4,"MD, Frederick County",4
111,"MD, Howard",2023,All,24027,1 to 4,1 to 4,"MD, Howard County",4
112,"MD, Prince Georges",2023,All,24033,1 to 4,1 to 4,"MD, Prince George's County",4
113,"MD, Queen Annes",2023,All,24035,1 to 4,1 to 4,"MD, Queen Anne's County",4
114,"MD, Baltimore City",2023,All,24510,1 to 4,1 to 4,"MD, Baltimore City",4
115,"MA, Barnstable",2023,All,25001,1 to 4,1 to 4,"MA, Barnstable County",4
116,"MA, Berkshire",2023,All,25003,1 to 4,1 to 4,"MA, Berkshire County",4
117,"MA, Dukes",2023,All,25007,1 to 4,1 to 4,"MA, Dukes County",4
118,"MA, Norfolk",2023,All,25021,1 to 4,1 to 4,"MA, Norfolk County",4
119,"MA, Plymouth",2023,All,25023,1 to 4,1 to 4,"MA, Plymouth County",4
120,"MI, Gladwin",2023,All,26051,1 to 4,1 to 4,"MI, Gladwin County",4
121,"MI, Kent",2023,All,26081,1 to 4,1 to 4,"MI, Kent County",4
122,"MI, Leelanau",2023,All,26089,1 to 4,1 to 4,"MI, Leelanau County",4
123,"MI, Ottawa",2023,All,26139,1 to 4,1 to 4,"MI, Ottawa County",4
124,"MI, St Clair",2023,All,26147,1 to 4,1 to 4,"MI, St. Clair County",4
125,"MI, Washtenaw",2023,All,26161,1 to 4,1 to 4,"MI, Washtenaw County",4
126,"MI, Wayne",2023,All,26163,1 to 4,1 to 4,"MI, Wayne County",4
127,"MN, Anoka",2023,All,27003,1 to 4,1 to 4,"MN, Anoka County",4
128,"MN, Dakota",2023,All,27037,1 to 4,1 to 4,"MN, Dakota County",4
129,"MN, Dodge",2023,All,27039,1 to 4,1 to 4,"MN, Dodge County",4
130,"MN, Itasca",2023,All,27061,1 to 4,1 to 4,"MN, Itasca County",4
131,"MN, Olmsted",2023,All,27109,1 to 4,1 to 4,"MN, Olmsted County",4
132,"MN, Ramsey",2023,All,27123,1 to 4,1 to 4,"MN, Ramsey County",4
133,"MN, Rice",2023,All,27131,1 to 4,1 to 4,"MN, Rice County",4
134,"MN, Sherburne",2023,All,27141,1 to 4,1 to 4,"MN, Sherburne County",4
135,"MN, Washington",2023,All,27163,1 to 4,1 to 4,"MN, Washington County",4
136,"MN, Wright",2023,All,27171,1 to 4,1 to 4,"MN, Wright County",4
137,"MS, Harrison",2023,All,28047,1 to 4,1 to 4,"MS, Harrison County",4
138,"MO, Christian",2023,All,29043,1 to 4,1 to 4,"MO, Christian County",4
139,"MO, Jackson",2023,All,29095,1 to 4,1 to 4,"MO, Jackson County",4
140,"MO, Jasper",2023,All,29097,1 to 4,1 to 4,"MO, Jasper County",4
141,"MO, Jefferson",2023,All,29099,1 to 4,1 to 4,"MO, Jefferson County",4
142,"MO, Johnson",2023,All,29101,1 to 4,1 to 4,"MO, Johnson County",4
143,"MT, Gallatin",2023,All,30031,1 to 4,1 to 4,"MT, Gallatin County",4
144,"NE, Dawson",2023,All,31047,1 to 4,1 to 4,"NE, Dawson County",4
145,"NE, Douglas",2023,All,31055,1 to 4,1 to 4,"NE, Douglas County",4
146,"NE, Lancaster",2023,All,31109,1 to 4,1 to 4,"NE, Lancaster County",4
147,"NE, Lincoln",2023,All,31111,1 to 4,1 to 4,"NE, Lincoln County",4
148,"NE, Madison",2023,All,31119,1 to 4,1 to 4,"NE, Madison County",4
149,"NV, Clark",2023,All,32003,1 to 4,1 to 4,"NV, Clark County",4
150,"NV, Douglas",2023,All,32005,1 to 4,1 to 4,"NV, Douglas County",4
151,"NV, Washoe",2023,All,32031,1 to 4,1 to 4,"NV, Washoe County",4
152,"NH, Rockingham",2023,All,33015,1 to 4,1 to 4,"NH, Rockingham County",4
153,"NJ, Atlantic",2023,All,34001,1 to 4,1 to 4,"NJ, Atlantic County",4
154,"NJ, Burlington",2023,All,34005,1 to 4,1 to 4,"NJ, Burlington County",4
155,"NJ, Cape May",2023,All,34009,1 to 4,1 to 4,"NJ, Cape May County",4
156,"NJ, Cumberland",2023,All,34011,1 to 4,1 to 4,"NJ, Cumberland County",4
157,"NJ, Hunterdon",2023,All,34019,1 to 4,1 to 4,"NJ, Hunterdon County",4
158,"NJ, Mercer",2023,All,34021,1 to 4,1 to 4,"NJ, Mercer County",4
159,"NJ, Ocean",2023,All,34029,1 to 4,1 to 4,"NJ, Ocean County",4
160,"NJ, Somerset",2023,All,34035,1 to 4,1 to 4,"NJ, Somerset County",4
161,"NJ, Sussex",2023,All,34037,1 to 4,1 to 4,"NJ, Sussex County",4
162,"NJ, Warren",2023,All,34041,1 to 4,1 to 4,"NJ, Warren County",4
163,"NM, Bernalillo",2023,All,35001,1 to 4,1 to 4,"NM, Bernalillo County",4
164,"NY, Albany",2023,All,36001,1 to 4,1 to 4,"NY, Albany County",4
165,"NY, Allegany",2023,All,36003,1 to 4,1 to 4,"NY, Allegany County",4
166,"NY, Broome",2023,All,36007,1 to 4,1 to 4,"NY, Broome County",4
167,"NY, Columbia",2023,All,36021,1 to 4,1 to 4,"NY, Columbia County",4
168,"NY, Dutchess",2023,All,36027,1 to 4,1 to 4,"NY, Dutchess County",4
169,"NY, Erie",2023,All,36029,1 to 4,1 to 4,"NY, Erie County",4
170,"NY, Monroe",2023,All,36055,1 to 4,1 to 4,"NY, Monroe County",4
171,"NY, Onondaga",2023,All,36067,1 to 4,1 to 4,"NY, Onondaga County",4
172,"NY, Putnam",2023,All,36079,1 to 4,1 to 4,"NY, Putnam County",4
173,"NY, Richmond",2023,All,36085,1 to 4,1 to 4,"NY, Richmond County",4
174,"NY, Rockland",2023,All,36087,1 to 4,1 to 4,"NY, Rockland County",4
175,"NY, Schenectady",2023,All,36093,1 to 4,1 to 4,"NY, Schenectady County",4
176,"NY, Tompkins",2023,All,36109,1 to 4,1 to 4,"NY, Tompkins County",4
177,"NC, Alamance",2023,All,37001,1 to 4,1 to 4,"NC, Alamance County",4
178,"NC, Cabarrus",2023,All,37025,1 to 4,1 to 4,"NC, Cabarrus County",4
179,"NC, Catawba",2023,All,37035,1 to 4,1 to 4,"NC, Catawba County",4
180,"NC, Chatham",2023,All,37037,1 to 4,1 to 4,"NC, Chatham County",4
181,"NC, Cumberland",2023,All,37051,1 to 4,1 to 4,"NC, Cumberland County",4
182,"NC, Durham",2023,All,37063,1 to 4,1 to 4,"NC, Durham County",4
183,"NC, Forsyth",2023,All,37067,1 to 4,1 to 4,"NC, Forsyth County",4
184,"NC, Guilford",2023,All,37081,1 to 4,1 to 4,"NC, Guilford County",4
185,"NC, Harnett",2023,All,37085,1 to 4,1 to 4,"NC, Harnett County",4
186,"NC, Johnston",2023,All,37101,1 to 4,1 to 4,"NC, Johnston County",4
187,"NC, Mecklenburg",2023,All,37119,1 to 4,1 to 4,"NC, Mecklenburg County",4
188,"NC, Orange",2023,All,37135,1 to 4,1 to 4,"NC, Orange County",4
189,"NC, Wake",2023,All,37183,1 to 4,1 to 4,"NC, Wake County",4
190,"NC, Wilkes",2023,All,37193,1 to 4,1 to 4,"NC, Wilkes County",4
191,"OH, Belmont",2023,All,39013,1 to 4,1 to 4,"OH, Belmont County",4
192,"OH, Clark",2023,All,39023,1 to 4,1 to 4,"OH, Clark County",4
193,"OH, Clermont",2023,All,39025,1 to 4,1 to 4,"OH, Clermont County",4
194,"OH, Cuyahoga",2023,All,39035,1 to 4,1 to 4,"OH, Cuyahoga County",4
195,"OH, Franklin",2023,All,39049,1 to 4,1 to 4,"OH, Franklin County",4
196,"OH, Hamilton",2023,All,39061,1 to 4,1 to 4,"OH, Hamilton County",4
197,"OH, Licking",2023,All,39089,1 to 4,1 to 4,"OH, Licking County",4
198,"OH, Lorain",2023,All,39093,1 to 4,1 to 4,"OH, Lorain County",4
199,"OH, Seneca",2023,All,39147,1 to 4,1 to 4,"OH, Seneca County",4
200,"OH, Summit",2023,All,39153,1 to 4,1 to 4,"OH, Summit County",4
201,"OH, Williams",2023,All,39171,1 to 4,1 to 4,"OH, Williams County",4
202,"OK, Carter",2023,All,40019,1 to 4,1 to 4,"OK, Carter County",4
203,"OK, Oklahoma",2023,All,40109,1 to 4,1 to 4,"OK, Oklahoma County",4
204,"OK, Pontotoc",2023,All,40123,1 to 4,1 to 4,"OK, Pontotoc County",4
205,"OR, Clackamas",2023,All,41005,1 to 4,1 to 4,"OR, Clackamas County",4
206,"OR, Deschutes",2023,All,41017,1 to 4,1 to 4,"OR, Deschutes County",4
207,"OR, Marion",2023,All,41047,1 to 4,1 to 4,"OR, Marion County",4
208,"OR, Multnomah",2023,All,41051,1 to 4,1 to 4,"OR, Multnomah County",4
209,"OR, Washington",2023,All,41067,1 to 4,1 to 4,"OR, Washington County",4
210,"PA, Allegheny",2023,All,42003,1 to 4,1 to 4,"PA, Allegheny County",4
211,"PA, Berks",2023,All,42011,1 to 4,1 to 4,"PA, Berks County",4
212,"PA, Blair",2023,All,42013,1 to 4,1 to 4,"PA, Blair County",4
213,"PA, Bucks",2023,All,42017,1 to 4,1 to 4,"PA, Bucks County",4
214,"PA, Cumberland",2023,All,42041,1 to 4,1 to 4,"PA, Cumberland County",4
215,"PA, Dauphin",2023,All,42043,1 to 4,1 to 4,"PA, Dauphin County",4
216,"PA, Lancaster",2023,All,42071,1 to 4,1 to 4,"PA, Lancaster County",4
217,"PA, Lehigh",2023,All,42077,1 to 4,1 to 4,"PA, Lehigh County",4
218,"PA, Luzerne",2023,All,42079,1 to 4,1 to 4,"PA, Luzerne County",4
219,"PA, Montgomery",2023,All,42091,1 to 4,1 to 4,"PA, Montgomery County",4
220,"PA, Northampton",2023,All,42095,1 to 4,1 to 4,"PA, Northampton County",4
221,"PA, York",2023,All,42133,1 to 4,1 to 4,"PA, York County",4
222,"RI, Kent",2023,All,44003,1 to 4,1 to 4,"RI, Kent County",4
223,"SC, Dorchester",2023,All,45035,1 to 4,1 to 4,"SC, Dorchester County",4
224,"SC, Greenwood",2023,All,45047,1 to 4,1 to 4,"SC, Greenwood County",4
225,"SC, Spartanburg",2023,All,45083,1 to 4,1 to 4,"SC, Spartanburg County",4
226,"SD, Minnehaha",2023,All,46099,1 to 4,1 to 4,"SD, Minnehaha County",4
227,"TN, Davidson",2023,All,47037,1 to 4,1 to 4,"TN, Davidson County",4
228,"TN, Hamilton",2023,All,47065,1 to 4,1 to 4,"TN, Hamilton County",4
229,"TN, Shelby",2023,All,47157,1 to 4,1 to 4,"TN, Shelby County",4
230,"TX, Bastrop",2023,All,48021,1 to 4,1 to 4,"TX, Bastrop County",4
231,"TX, Bell",2023,All,48027,1 to 4,1 to 4,"TX, Bell County",4
232,"TX, Bexar",2023,All,48029,1 to 4,1 to 4,"TX, Bexar County",4
233,"TX, Burnet",2023,All,48053,1 to 4,1 to 4,"TX, Burnet County",4
234,"TX, El Paso",2023,All,48141,1 to 4,1 to 4,"TX, El Paso County",4
235,"TX, Galveston",2023,All,48167,1 to 4,1 to 4,"TX, Galveston County",4
236,"TX, Grimes",2023,All,48185,1 to 4,1 to 4,"TX, Grimes County",4
237,"TX, Hays",2023,All,48209,1 to 4,1 to 4,"TX, Hays County",4
238,"TX, Hidalgo",2023,All,48215,1 to 4,1 to 4,"TX, Hidalgo County",4
239,"TX, Hunt",2023,All,48231,1 to 4,1 to 4,"TX, Hunt County",4
240,"TX, Jackson",2023,All,48239,1 to 4,1 to 4,"TX, Jackson County",4
241,"TX, Johnson",2023,All,48251,1 to 4,1 to 4,"TX, Johnson County",4
242,"TX, Midland",2023,All,48329,1 to 4,1 to 4,"TX, Midland County",4
243,"TX, Montgomery",2023,All,48339,1 to 4,1 to 4,"TX, Montgomery County",4
