,FullGeoName,Year,Travel status,County,Count,Legend,Notes,LegendInts
247,"MI, Houghton",2010 - 2023,All,26061,1 to 4,1 to 4,"MI, Houghton County",4
248,"MI, Jackson",2010 - 2023,All,26075,1 to 4,1 to 4,"MI, Jackson County",4
249,"MI, Kalamazoo",2010 - 2023,All,26077,1 to 4,1 to 4,"MI, Kalamazoo County",4
250,"MI, Leelanau",2010 - 2023,All,26089,1 to 4,1 to 4,"MI, Leelanau County",4
251,"MI, Macomb",2010 - 2023,All,26099,1 to 4,1 to 4,"MI, Macomb County",4
252,"MI, Midland",2010 - 2023,All,26111,1 to 4,1 to 4,"MI, Midland County",4
253,"MI, Muskegon",2010 - 2023,All,26121,1 to 4,1 to 4,"MI, Muskegon County",4
254,"MI, Ottawa",2010 - 2023,All,26139,1 to 4,1 to 4,"MI, Ottawa County",4
255,"MI, Saginaw",2010 - 2023,All,26145,1 to 4,1 to 4,"MI, Saginaw County",4
256,"MI, St Clair",2010 - 2023,All,26147,1 to 4,1 to 4,"MI, St. Clair County",4
257,"MI, Van Buren",2010 - 2023,All,26159,1 to 4,1 to 4,"MI, Van Buren County",4
258,"MN, Carver",2010 - 2023,All,27019,1 to 4,1 to 4,"MN, Carver County",4
259,"MN, Crow Wing",2010 - 2023,All,27035,1 to 4,1 to 4,"MN, Crow Wing County",4
260,"MN, Dodge",2010 - 2023,All,27039,1 to 4,1 to 4,"MN, Dodge County",4
261,"MN, Goodhue",2010 - 2023,All,27049,1 to 4,1 to 4,"MN, Goodhue County",4
262,"MN, Itasca",2010 - 2023,All,27061,1 to 4,1 to 4,"MN, Itasca County",4
263,"MN, Lyon",2010 - 2023,All,27083,1 to 4,1 to 4,"MN, Lyon County",4
264,"MN, Morrison",2010 - 2023,All,27097,1 to 4,1 to 4,"MN, Morrison County",4
265,"MN, Olmsted",2010 - 2023,All,27109,1 to 4,1 to 4,"MN, Olmsted County",4
266,"MN, Pope",2010 - 2023,All,27121,1 to 4,1 to 4,"MN, Pope County",4
267,"MN, Rice",2010 - 2023,All,27131,1 to 4,1 to 4,"MN, Rice County",4
268,"MN, St Louis",2010 - 2023,All,27137,1 to 4,1 to 4,"MN, St. Louis County",4
269,"MN, Sherburne",2010 - 2023,All,27141,1 to 4,1 to 4,"MN, Sherburne County",4
270,"MN, Sibley",2010 - 2023,All,27143,1 to 4,1 to 4,"MN, Sibley County",4
271,"MN, Stearns",2010 - 2023,All,27145,1 to 4,1 to 4,"MN, Stearns County",4
272,"MN, Swift",2010 - 2023,All,27151,1 to 4,1 to 4,"MN, Swift County",4
273,"MN, Wright",2010 - 2023,All,27171,1 to 4,1 to 4,"MN, Wright County",4
274,"MS, Forrest",2010 - 2023,All,28035,1 to 4,1 to 4,"MS, Forrest County",4
275,"MS, Harrison",2010 - 2023,All,28047,1 to 4,1 to 4,"MS, Harrison County",4
276,"MS, Jackson",2010 - 2023,All,28059,1 to 4,1 to 4,"MS, Jackson County",4
277,"MS, Lamar",2010 - 2023,All,28073,1 to 4,1 to 4,"MS, Lamar County",4
278,"MS, Lee",2010 - 2023,All,28081,1 to 4,1 to 4,"MS, Lee County",4
279,"MS, Tallahatchie",2010 - 2023,All,28135,1 to 4,1 to 4,"MS, Tallahatchie County",4
280,"MS, Warren",2010 - 2023,All,28149,1 to 4,1 to 4,"MS, Warren County",4
281,"MO, Adair",2010 - 2023,All,29001,1 to 4,1 to 4,"MO, Adair County",4
282,"MO, Barry",2010 - 2023,All,29009,1 to 4,1 to 4,"MO, Barry County",4
283,"MO, Boone",2010 - 2023,All,29019,1 to 4,1 to 4,"MO, Boone County",4
