,FullGeoName,Year,Travel status,County,Count,Legend,Notes,LegendInts
0,"AL, Autauga",2010 - 2023,All,1001,1 to 4,1 to 4,"AL, Autauga County",4
1,"AL, Baldwin",2010 - 2023,All,1003,1 to 4,1 to 4,"AL, Baldwin County",4
2,"AL, Chilton",2010 - 2023,All,1021,1 to 4,1 to 4,"AL, Chilton County",4
3,"AL, Elmore",2010 - 2023,All,1051,1 to 4,1 to 4,"AL, Elmore County",4
4,"AL, Franklin",2010 - 2023,All,1059,1 to 4,1 to 4,"AL, Franklin County",4
5,"AL, Lauderdale",2010 - 2023,All,1077,1 to 4,1 to 4,"AL, Lauderdale County",4
6,"AL, Mobile",2010 - 2023,All,1097,1 to 4,1 to 4,"AL, Mobile County",4
7,"AL, Morgan",2010 - 2023,All,1103,1 to 4,1 to 4,"AL, Morgan County",4
8,"AL, Shelby",2010 - 2023,All,1117,1 to 4,1 to 4,"AL, Shelby County",4
9,"AL, Tuscaloosa",2010 - 2023,All,1125,1 to 4,1 to 4,"AL, Tuscaloosa County",4
10,"AK, Fairbanks North Star Borough",2010 - 2023,All,2090,1 to 4,1 to 4,"AK, Fairbanks North Star Borough",4
11,"AK, Matanuska-susitna Borough",2010 - 2023,All,2170,1 to 4,1 to 4,"AK, Matanuska-Susitna Borough",4
12,"AZ, Cochise",2010 - 2023,All,4003,1 to 4,1 to 4,"AZ, Cochise County",4
13,"AZ, Gila",2010 - 2023,All,4007,1 to 4,1 to 4,"AZ, Gila County",4
14,"AZ, Mohave",2010 - 2023,All,4015,1 to 4,1 to 4,"AZ, Mohave County",4
15,"AZ, Santa Cruz",2010 - 2023,All,4023,1 to 4,1 to 4,"AZ, Santa Cruz County",4
16,"AZ, Yavapai",2010 - 2023,All,4025,1 to 4,1 to 4,"AZ, Yavapai County",4
17,"AR, Chicot",2010 - 2023,All,5017,1 to 4,1 to 4,"AR, Chicot County",4
18,"AR, Greene",2010 - 2023,All,5055,1 to 4,1 to 4,"AR, Greene County",4
19,"AR, Madison",2010 - 2023,All,5087,1 to 4,1 to 4,"AR, Madison County",4
20,"AR, Pope",2010 - 2023,All,5115,1 to 4,1 to 4,"AR, Pope County",4
21,"AR, Pulaski",2010 - 2023,All,5119,1 to 4,1 to 4,"AR, Pulaski County",4
22,"AR, Saline",2010 - 2023,All,5125,1 to 4,1 to 4,"AR, Saline County",4
23,"AR, Sebastian",2010 - 2023,All,5131,1 to 4,1 to 4,"AR, Sebastian County",4
24,"AR, Sevier",2010 - 2023,All,5133,1 to 4,1 to 4,"AR, Sevier County",4
25,"AR, Union",2010 - 2023,All,5139,1 to 4,1 to 4,"AR, Union County",4
26,"CA, Amador",2010 - 2023,All,6005,1 to 4,1 to 4,"CA, Amador County",4
27,"CA, Colusa",2010 - 2023,All,6011,1 to 4,1 to 4,"CA, Colusa County",4
28,"CA, Humboldt",2010 - 2023,All,6023,1 to 4,1 to 4,"CA, Humboldt County",4
29,"CA, Kings",2010 - 2023,All,6031,1 to 4,1 to 4,"CA, Kings County",4
30,"CA, Madera",2010 - 2023,All,6039,1 to 4,1 to 4,"CA, Madera County",4
31,"CA, Mendocino",2010 - 2023,All,6045,1 to 4,1 to 4,"CA, Mendocino County",4
32,"CA, Merced",2010 - 2023,All,6047,1 to 4,1 to 4,"CA, Merced County",4
33,"CA, Nevada",2010 - 2023,All,6057,1 to 4,1 to 4,"CA, Nevada County",4
34,"CA, San Benito",2010 - 2023,All,6069,1 to 4,1 to 4,"CA, San Benito County",4
35,"CA, Shasta",2010 - 2023,All,6089,1 to 4,1 to 4,"CA, Shasta County",4
36,"CA, Sutter",2010 - 2023,All,6101,1 to 4,1 to 4,"CA, Sutter County",4
37,"CA, Tehama",2010 - 2023,All,6103,1 to 4,1 to 4,"CA, Tehama County",4
38,"CA, Tuolumne",2010 - 2023,All,6109,1 to 4,1 to 4,"CA, Tuolumne County",4
39,"CA, Yuba",2010 - 2023,All,6115,1 to 4,1 to 4,"CA, Yuba County",4
40,"CO, Adams",2010 - 2023,All,8001,1 to 4,1 to 4,"CO, Adams County",4
41,"CO, Broomfield",2010 - 2023,All,8014,1 to 4,1 to 4,"CO, Broomfield, City and County of",4
42,"CO, Gunnison",2010 - 2023,All,8051,1 to 4,1 to 4,"CO, Gunnison County",4
43,"CO, La Plata",2010 - 2023,All,8067,1 to 4,1 to 4,"CO, La Plata County",4
44,"CO, Mesa",2010 - 2023,All,8077,1 to 4,1 to 4,"CO, Mesa County",4
45,"CO, Pitkin",2010 - 2023,All,8097,1 to 4,1 to 4,"CO, Pitkin County",4
46,"CO, Routt",2010 - 2023,All,8107,1 to 4,1 to 4,"CO, Routt County",4
47,"CO, San Miguel",2010 - 2023,All,8113,1 to 4,1 to 4,"CO, San Miguel County",4
48,"CO, Summit",2010 - 2023,All,8117,1 to 4,1 to 4,"CO, Summit County",4
49,"CT, Litchfield",2010 - 2023,All,9005,1 to 4,1 to 4,"CT, Litchfield County",4
50,"CT, Middlesex",2010 - 2023,All,9007,1 to 4,1 to 4,"CT, Middlesex County",4
51,"CT, Tolland",2010 - 2023,All,9013,1 to 4,1 to 4,"CT, Tolland County",4
52,"CT, Windham",2010 - 2023,All,9015,1 to 4,1 to 4,"CT, Windham County",4
53,"CT, Capitol",2010 - 2023,All,9110,1 to 4,1 to 4,"CT, NA",4
54,"CT, Greater Bridgeport",2010 - 2023,All,9120,1 to 4,1 to 4,"CT, NA",4
55,"CT, Lower Connecticut River Valley",2010 - 2023,All,9130,1 to 4,1 to 4,"CT, NA",4
56,"CT, Northwest Hills",2010 - 2023,All,9160,1 to 4,1 to 4,"CT, NA",4
57,"CT, South Central Connecticut",2010 - 2023,All,9170,1 to 4,1 to 4,"CT, NA",4
58,"CT, Southeastern Connecticut",2010 - 2023,All,9180,1 to 4,1 to 4,"CT, NA",4
59,"DE, Kent",2010 - 2023,All,10001,1 to 4,1 to 4,"DE, Kent County",4
60,"DE, Sussex",2010 - 2023,All,10005,1 to 4,1 to 4,"DE, Sussex County",4
61,"FL, Bay",2010 - 2023,All,12005,1 to 4,1 to 4,"FL, Bay County",4
62,"FL, Citrus",2010 - 2023,All,12017,1 to 4,1 to 4,"FL, Citrus County",4
63,"FL, Columbia",2010 - 2023,All,12023,1 to 4,1 to 4,"FL, Columbia County",4
64,"FL, De Soto",2010 - 2023,All,12027,1 to 4,1 to 4,"FL, DeSoto County",4
65,"FL, Escambia",2010 - 2023,All,12033,1 to 4,1 to 4,"FL, Escambia County",4
66,"FL, Gulf",2010 - 2023,All,12045,1 to 4,1 to 4,"FL, Gulf County",4
67,"FL, Highlands",2010 - 2023,All,12055,1 to 4,1 to 4,"FL, Highlands County",4
68,"FL, Lafayette",2010 - 2023,All,12067,1 to 4,1 to 4,"FL, Lafayette County",4
69,"FL, Leon",2010 - 2023,All,12073,1 to 4,1 to 4,"FL, Leon County",4
70,"FL, Nassau",2010 - 2023,All,12089,1 to 4,1 to 4,"FL, Nassau County",4
71,"FL, Okaloosa",2010 - 2023,All,12091,1 to 4,1 to 4,"FL, Okaloosa County",4
72,"FL, Putnam",2010 - 2023,All,12107,1 to 4,1 to 4,"FL, Putnam County",4
73,"FL, Santa Rosa",2010 - 2023,All,12113,1 to 4,1 to 4,"FL, Santa Rosa County",4
74,"FL, Suwannee",2010 - 2023,All,12121,1 to 4,1 to 4,"FL, Suwannee County",4
75,"FL, Washington",2010 - 2023,All,12133,1 to 4,1 to 4,"FL, Washington County",4
76,"GA, Baldwin",2010 - 2023,All,13009,1 to 4,1 to 4,"GA, Baldwin County",4
77,"GA, Barrow",2010 - 2023,All,13013,1 to 4,1 to 4,"GA, Barrow County",4
78,"GA, Bryan",2010 - 2023,All,13029,1 to 4,1 to 4,"GA, Bryan County",4
79,"GA, Bulloch",2010 - 2023,All,13031,1 to 4,1 to 4,"GA, Bulloch County",4
80,"GA, Carroll",2010 - 2023,All,13045,1 to 4,1 to 4,"GA, Carroll County",4
81,"GA, Chatham",2010 - 2023,All,13051,1 to 4,1 to 4,"GA, Chatham County",4
82,"GA, Cherokee",2010 - 2023,All,13057,1 to 4,1 to 4,"GA, Cherokee County",4
83,"GA, Clarke",2010 - 2023,All,13059,1 to 4,1 to 4,"GA, Clarke County",4
84,"GA, Clayton",2010 - 2023,All,13063,1 to 4,1 to 4,"GA, Clayton County",4
85,"GA, Columbia",2010 - 2023,All,13073,1 to 4,1 to 4,"GA, Columbia County",4
86,"GA, Coweta",2010 - 2023,All,13077,1 to 4,1 to 4,"GA, Coweta County",4
87,"GA, Douglas",2010 - 2023,All,13097,1 to 4,1 to 4,"GA, Douglas County",4
88,"GA, Effingham",2010 - 2023,All,13103,1 to 4,1 to 4,"GA, Effingham County",4
89,"GA, Fannin",2010 - 2023,All,13111,1 to 4,1 to 4,"GA, Fannin County",4
90,"GA, Fayette",2010 - 2023,All,13113,1 to 4,1 to 4,"GA, Fayette County",4
91,"GA, Forsyth",2010 - 2023,All,13117,1 to 4,1 to 4,"GA, Forsyth County",4
92,"GA, Glynn",2010 - 2023,All,13127,1 to 4,1 to 4,"GA, Glynn County",4
93,"GA, Lowndes",2010 - 2023,All,13185,1 to 4,1 to 4,"GA, Lowndes County",4
94,"GA, Lumpkin",2010 - 2023,All,13187,1 to 4,1 to 4,"GA, Lumpkin County",4
95,"GA, Muscogee",2010 - 2023,All,13215,1 to 4,1 to 4,"GA, Muscogee County",4
96,"GA, Oconee",2010 - 2023,All,13219,1 to 4,1 to 4,"GA, Oconee County",4
97,"GA, Paulding",2010 - 2023,All,13223,1 to 4,1 to 4,"GA, Paulding County",4
98,"GA, Schley",2010 - 2023,All,13249,1 to 4,1 to 4,"GA, Schley County",4
99,"GA, Walton",2010 - 2023,All,13297,1 to 4,1 to 4,"GA, Walton County",4
100,"ID, Blaine",2010 - 2023,All,16013,1 to 4,1 to 4,"ID, Blaine County",4
101,"ID, Bonner",2010 - 2023,All,16017,1 to 4,1 to 4,"ID, Bonner County",4
102,"ID, Bonneville",2010 - 2023,All,16019,1 to 4,1 to 4,"ID, Bonneville County",4
103,"ID, Canyon",2010 - 2023,All,16027,1 to 4,1 to 4,"ID, Canyon County",4
104,"ID, Minidoka",2010 - 2023,All,16067,1 to 4,1 to 4,"ID, Minidoka County",4
105,"ID, Teton",2010 - 2023,All,16081,1 to 4,1 to 4,"ID, Teton County",4
106,"IL, Bureau",2010 - 2023,All,17011,1 to 4,1 to 4,"IL, Bureau County",4
107,"IL, Carroll",2010 - 2023,All,17015,1 to 4,1 to 4,"IL, Carroll County",4
108,"IL, Grundy",2010 - 2023,All,17063,1 to 4,1 to 4,"IL, Grundy County",4
109,"IL, Jackson",2010 - 2023,All,17077,1 to 4,1 to 4,"IL, Jackson County",4
110,"IL, Johnson",2010 - 2023,All,17087,1 to 4,1 to 4,"IL, Johnson County",4
111,"IL, Knox",2010 - 2023,All,17095,1 to 4,1 to 4,"IL, Knox County",4
112,"IL, La Salle",2010 - 2023,All,17099,1 to 4,1 to 4,"IL, LaSalle County",4
113,"IL, Mchenry",2010 - 2023,All,17111,1 to 4,1 to 4,"IL, McHenry County",4
114,"IL, Mclean",2010 - 2023,All,17113,1 to 4,1 to 4,"IL, McLean County",4
115,"IL, Macon",2010 - 2023,All,17115,1 to 4,1 to 4,"IL, Macon County",4
116,"IL, Madison",2010 - 2023,All,17119,1 to 4,1 to 4,"IL, Madison County",4
117,"IL, Moultrie",2010 - 2023,All,17139,1 to 4,1 to 4,"IL, Moultrie County",4
118,"IL, Ogle",2010 - 2023,All,17141,1 to 4,1 to 4,"IL, Ogle County",4
119,"IL, Peoria",2010 - 2023,All,17143,1 to 4,1 to 4,"IL, Peoria County",4
120,"IL, Randolph",2010 - 2023,All,17157,1 to 4,1 to 4,"IL, Randolph County",4
121,"IL, St Clair",2010 - 2023,All,17163,1 to 4,1 to 4,"IL, St. Clair County",4
122,"IL, Sangamon",2010 - 2023,All,17167,1 to 4,1 to 4,"IL, Sangamon County",4
123,"IL, Shelby",2010 - 2023,All,17173,1 to 4,1 to 4,"IL, Shelby County",4
124,"IL, Wabash",2010 - 2023,All,17185,1 to 4,1 to 4,"IL, Wabash County",4
125,"IL, Winnebago",2010 - 2023,All,17201,1 to 4,1 to 4,"IL, Winnebago County",4
126,"IN, Allen",2010 - 2023,All,18003,1 to 4,1 to 4,"IN, Allen County",4
127,"IN, Bartholomew",2010 - 2023,All,18005,1 to 4,1 to 4,"IN, Bartholomew County",4
128,"IN, Boone",2010 - 2023,All,18011,1 to 4,1 to 4,"IN, Boone County",4
129,"IN, Brown",2010 - 2023,All,18013,1 to 4,1 to 4,"IN, Brown County",4
130,"IN, Clark",2010 - 2023,All,18019,1 to 4,1 to 4,"IN, Clark County",4
131,"IN, Dearborn",2010 - 2023,All,18029,1 to 4,1 to 4,"IN, Dearborn County",4
132,"IN, Delaware",2010 - 2023,All,18035,1 to 4,1 to 4,"IN, Delaware County",4
133,"IN, Elkhart",2010 - 2023,All,18039,1 to 4,1 to 4,"IN, Elkhart County",4
134,"IN, Fulton",2010 - 2023,All,18049,1 to 4,1 to 4,"IN, Fulton County",4
135,"IN, Greene",2010 - 2023,All,18055,1 to 4,1 to 4,"IN, Greene County",4
136,"IN, Hendricks",2010 - 2023,All,18063,1 to 4,1 to 4,"IN, Hendricks County",4
137,"IN, Howard",2010 - 2023,All,18067,1 to 4,1 to 4,"IN, Howard County",4
138,"IN, Huntington",2010 - 2023,All,18069,1 to 4,1 to 4,"IN, Huntington County",4
139,"IN, Johnson",2010 - 2023,All,18081,1 to 4,1 to 4,"IN, Johnson County",4
140,"IN, Kosciusko",2010 - 2023,All,18085,1 to 4,1 to 4,"IN, Kosciusko County",4
141,"IN, La Grange",2010 - 2023,All,18087,1 to 4,1 to 4,"IN, LaGrange County",4
142,"IN, Lake",2010 - 2023,All,18089,1 to 4,1 to 4,"IN, Lake County",4
143,"IN, Lawrence",2010 - 2023,All,18093,1 to 4,1 to 4,"IN, Lawrence County",4
144,"IN, Madison",2010 - 2023,All,18095,1 to 4,1 to 4,"IN, Madison County",4
145,"IN, Monroe",2010 - 2023,All,18105,1 to 4,1 to 4,"IN, Monroe County",4
146,"IN, Morgan",2010 - 2023,All,18109,1 to 4,1 to 4,"IN, Morgan County",4
147,"IN, Porter",2010 - 2023,All,18127,1 to 4,1 to 4,"IN, Porter County",4
148,"IN, Pulaski",2010 - 2023,All,18131,1 to 4,1 to 4,"IN, Pulaski County",4
149,"IN, Vanderburgh",2010 - 2023,All,18163,1 to 4,1 to 4,"IN, Vanderburgh County",4
150,"IN, Vigo",2010 - 2023,All,18167,1 to 4,1 to 4,"IN, Vigo County",4
151,"IN, Wells",2010 - 2023,All,18179,1 to 4,1 to 4,"IN, Wells County",4
152,"IN, White",2010 - 2023,All,18181,1 to 4,1 to 4,"IN, White County",4
153,"IA, Black Hawk",2010 - 2023,All,19013,1 to 4,1 to 4,"IA, Black Hawk County",4
154,"IA, Buchanan",2010 - 2023,All,19019,1 to 4,1 to 4,"IA, Buchanan County",4
155,"IA, Buena Vista",2010 - 2023,All,19021,1 to 4,1 to 4,"IA, Buena Vista County",4
156,"IA, Carroll",2010 - 2023,All,19027,1 to 4,1 to 4,"IA, Carroll County",4
157,"IA, Cerro Gordo",2010 - 2023,All,19033,1 to 4,1 to 4,"IA, Cerro Gordo County",4
158,"IA, Clayton",2010 - 2023,All,19043,1 to 4,1 to 4,"IA, Clayton County",4
159,"IA, Clinton",2010 - 2023,All,19045,1 to 4,1 to 4,"IA, Clinton County",4
160,"IA, Crawford",2010 - 2023,All,19047,1 to 4,1 to 4,"IA, Crawford County",4
161,"IA, Des Moines",2010 - 2023,All,19057,1 to 4,1 to 4,"IA, Des Moines County",4
162,"IA, Fayette",2010 - 2023,All,19065,1 to 4,1 to 4,"IA, Fayette County",4
163,"IA, Grundy",2010 - 2023,All,19075,1 to 4,1 to 4,"IA, Grundy County",4
164,"IA, Hamilton",2010 - 2023,All,19079,1 to 4,1 to 4,"IA, Hamilton County",4
165,"IA, Hardin",2010 - 2023,All,19083,1 to 4,1 to 4,"IA, Hardin County",4
166,"IA, Harrison",2010 - 2023,All,19085,1 to 4,1 to 4,"IA, Harrison County",4
167,"IA, Jefferson",2010 - 2023,All,19101,1 to 4,1 to 4,"IA, Jefferson County",4
168,"IA, Muscatine",2010 - 2023,All,19139,1 to 4,1 to 4,"IA, Muscatine County",4
169,"IA, Pottawattamie",2010 - 2023,All,19155,1 to 4,1 to 4,"IA, Pottawattamie County",4
170,"IA, Poweshiek",2010 - 2023,All,19157,1 to 4,1 to 4,"IA, Poweshiek County",4
171,"IA, Scott",2010 - 2023,All,19163,1 to 4,1 to 4,"IA, Scott County",4
172,"IA, Story",2010 - 2023,All,19169,1 to 4,1 to 4,"IA, Story County",4
173,"IA, Webster",2010 - 2023,All,19187,1 to 4,1 to 4,"IA, Webster County",4
174,"IA, Winneshiek",2010 - 2023,All,19191,1 to 4,1 to 4,"IA, Winneshiek County",4
175,"IA, Woodbury",2010 - 2023,All,19193,1 to 4,1 to 4,"IA, Woodbury County",4
176,"IA, Wright",2010 - 2023,All,19197,1 to 4,1 to 4,"IA, Wright County",4
177,"KS, Barton",2010 - 2023,All,20009,1 to 4,1 to 4,"KS, Barton County",4
178,"KS, Cowley",2010 - 2023,All,20035,1 to 4,1 to 4,"KS, Cowley County",4
179,"KS, Ford",2010 - 2023,All,20057,1 to 4,1 to 4,"KS, Ford County",4
180,"KS, Geary",2010 - 2023,All,20061,1 to 4,1 to 4,"KS, Geary County",4
181,"KS, Greenwood",2010 - 2023,All,20073,1 to 4,1 to 4,"KS, Greenwood County",4
182,"KS, Harvey",2010 - 2023,All,20079,1 to 4,1 to 4,"KS, Harvey County",4
183,"KS, Leavenworth",2010 - 2023,All,20103,1 to 4,1 to 4,"KS, Leavenworth County",4
184,"KS, Mcpherson",2010 - 2023,All,20113,1 to 4,1 to 4,"KS, McPherson County",4
185,"KS, Reno",2010 - 2023,All,20155,1 to 4,1 to 4,"KS, Reno County",4
186,"KS, Riley",2010 - 2023,All,20161,1 to 4,1 to 4,"KS, Riley County",4
187,"KS, Shawnee",2010 - 2023,All,20177,1 to 4,1 to 4,"KS, Shawnee County",4
188,"KY, Bullitt",2010 - 2023,All,21029,1 to 4,1 to 4,"KY, Bullitt County",4
189,"KY, Campbell",2010 - 2023,All,21037,1 to 4,1 to 4,"KY, Campbell County",4
190,"KY, Fayette",2010 - 2023,All,21067,1 to 4,1 to 4,"KY, Fayette County",4
191,"KY, Hardin",2010 - 2023,All,21093,1 to 4,1 to 4,"KY, Hardin County",4
192,"KY, Henry",2010 - 2023,All,21103,1 to 4,1 to 4,"KY, Henry County",4
193,"KY, Hopkins",2010 - 2023,All,21107,1 to 4,1 to 4,"KY, Hopkins County",4
194,"KY, Kenton",2010 - 2023,All,21117,1 to 4,1 to 4,"KY, Kenton County",4
195,"KY, Livingston",2010 - 2023,All,21139,1 to 4,1 to 4,"KY, Livingston County",4
196,"KY, Mccracken",2010 - 2023,All,21145,1 to 4,1 to 4,"KY, McCracken County",4
197,"KY, Powell",2010 - 2023,All,21197,1 to 4,1 to 4,"KY, Powell County",4
198,"KY, Shelby",2010 - 2023,All,21211,1 to 4,1 to 4,"KY, Shelby County",4
199,"KY, Spencer",2010 - 2023,All,21215,1 to 4,1 to 4,"KY, Spencer County",4
200,"KY, Warren",2010 - 2023,All,21227,1 to 4,1 to 4,"KY, Warren County",4
201,"LA, Ascension Parish",2010 - 2023,All,22005,1 to 4,1 to 4,"LA, Ascension Parish",4
202,"LA, Beauregard Parish",2010 - 2023,All,22011,1 to 4,1 to 4,"LA, Beauregard Parish",4
203,"LA, Bossier Parish",2010 - 2023,All,22015,1 to 4,1 to 4,"LA, Bossier Parish",4
204,"LA, Caddo Parish",2010 - 2023,All,22017,1 to 4,1 to 4,"LA, Caddo Parish",4
205,"LA, East Baton Rouge Parish",2010 - 2023,All,22033,1 to 4,1 to 4,"LA, East Baton Rouge Parish",4
206,"LA, Evangeline Parish",2010 - 2023,All,22039,1 to 4,1 to 4,"LA, Evangeline Parish",4
207,"LA, Jefferson Davis Parish",2010 - 2023,All,22053,1 to 4,1 to 4,"LA, Jefferson Davis Parish",4
208,"LA, Lincoln Parish",2010 - 2023,All,22061,1 to 4,1 to 4,"LA, Lincoln Parish",4
209,"LA, Livingston Parish",2010 - 2023,All,22063,1 to 4,1 to 4,"LA, Livingston Parish",4
210,"LA, Rapides Parish",2010 - 2023,All,22079,1 to 4,1 to 4,"LA, Rapides Parish",4
211,"LA, St Martin Parish",2010 - 2023,All,22099,1 to 4,1 to 4,"LA, St. Martin Parish",4
212,"LA, Tangipahoa Parish",2010 - 2023,All,22105,1 to 4,1 to 4,"LA, Tangipahoa Parish",4
213,"LA, Vermilion Parish",2010 - 2023,All,22113,1 to 4,1 to 4,"LA, Vermilion Parish",4
214,"ME, Androscoggin",2010 - 2023,All,23001,1 to 4,1 to 4,"ME, Androscoggin County",4
215,"ME, Franklin",2010 - 2023,All,23007,1 to 4,1 to 4,"ME, Franklin County",4
216,"ME, Hancock",2010 - 2023,All,23009,1 to 4,1 to 4,"ME, Hancock County",4
217,"ME, Kennebec",2010 - 2023,All,23011,1 to 4,1 to 4,"ME, Kennebec County",4
218,"ME, Lincoln",2010 - 2023,All,23015,1 to 4,1 to 4,"ME, Lincoln County",4
219,"ME, Waldo",2010 - 2023,All,23027,1 to 4,1 to 4,"ME, Waldo County",4
220,"ME, York",2010 - 2023,All,23031,1 to 4,1 to 4,"ME, York County",4
221,"MD, Calvert",2010 - 2023,All,24009,1 to 4,1 to 4,"MD, Calvert County",4
222,"MD, Carroll",2010 - 2023,All,24013,1 to 4,1 to 4,"MD, Carroll County",4
223,"MD, Charles",2010 - 2023,All,24017,1 to 4,1 to 4,"MD, Charles County",4
224,"MD, Harford",2010 - 2023,All,24025,1 to 4,1 to 4,"MD, Harford County",4
225,"MD, Queen Annes",2010 - 2023,All,24035,1 to 4,1 to 4,"MD, Queen Anne's County",4
226,"MD, St Marys",2010 - 2023,All,24037,1 to 4,1 to 4,"MD, St. Mary's County",4
227,"MD, Wicomico",2010 - 2023,All,24045,1 to 4,1 to 4,"MD, Wicomico County",4
228,"MD, Worcester",2010 - 2023,All,24047,1 to 4,1 to 4,"MD, Worcester County",4
229,"MA, Barnstable",2010 - 2023,All,25001,1 to 4,1 to 4,"MA, Barnstable County",4
230,"MA, Berkshire",2010 - 2023,All,25003,1 to 4,1 to 4,"MA, Berkshire County",4
231,"MA, Bristol",2010 - 2023,All,25005,1 to 4,1 to 4,"MA, Bristol County",4
232,"MA, Dukes",2010 - 2023,All,25007,1 to 4,1 to 4,"MA, Dukes County",4
233,"MA, Franklin",2010 - 2023,All,25011,1 to 4,1 to 4,"MA, Franklin County",4
234,"MA, Hampden",2010 - 2023,All,25013,1 to 4,1 to 4,"MA, Hampden County",4
235,"MA, Hampshire",2010 - 2023,All,25015,1 to 4,1 to 4,"MA, Hampshire County",4
236,"MI, Allegan",2010 - 2023,All,26005,1 to 4,1 to 4,"MI, Allegan County",4
237,"MI, Alpena",2010 - 2023,All,26007,1 to 4,1 to 4,"MI, Alpena County",4
238,"MI, Benzie",2010 - 2023,All,26019,1 to 4,1 to 4,"MI, Benzie County",4
239,"MI, Berrien",2010 - 2023,All,26021,1 to 4,1 to 4,"MI, Berrien County",4
240,"MI, Calhoun",2010 - 2023,All,26025,1 to 4,1 to 4,"MI, Calhoun County",4
241,"MI, Clinton",2010 - 2023,All,26037,1 to 4,1 to 4,"MI, Clinton County",4
242,"MI, Eaton",2010 - 2023,All,26045,1 to 4,1 to 4,"MI, Eaton County",4
243,"MI, Genesee",2010 - 2023,All,26049,1 to 4,1 to 4,"MI, Genesee County",4
244,"MI, Gladwin",2010 - 2023,All,26051,1 to 4,1 to 4,"MI, Gladwin County",4
245,"MI, Grand Traverse",2010 - 2023,All,26055,1 to 4,1 to 4,"MI, Grand Traverse County",4
246,"MI, Gratiot",2010 - 2023,All,26057,1 to 4,1 to 4,"MI, Gratiot County",4
