FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Elmore",2016,Travel associated,01051,1 to 4,1 to 4,"AL, Elmore County"
"AL, Jefferson",2016,Travel associated,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Madison",2016,Travel associated,01089,1 to 4,1 to 4,"AL, Madison County"
"AL, Montgomery",2016,Travel associated,01101,1 to 4,1 to 4,"AL, Montgomery County"
"AK, Anchorage Muny",2016,Travel associated,02020,1 to 4,1 to 4,"AK, Anchorage, Municipality of"
AK,2016,Travel associated,02999,1 to 4,1 to 4,"AK, Alaska"
"AZ, Pima",2016,Travel associated,04019,1 to 4,1 to 4,"AZ, Pima County"
"AR, Benton",2016,Travel associated,05007,1 to 4,1 to 4,"AR, Benton County"
"AR, Sevier",2016,Travel associated,05133,1 to 4,1 to 4,"AR, Sevier County"
"CA, El Dorado",2016,Travel associated,06017,1 to 4,1 to 4,"CA, El Dorado County"
"CA, Humboldt",2016,Travel associated,06023,1 to 4,1 to 4,"CA, Humboldt County"
"CA, Marin",2016,Travel associated,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Mendocino",2016,Travel associated,06045,1 to 4,1 to 4,"CA, Mendocino County"
"CA, Monterey",2016,Travel associated,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Napa",2016,Travel associated,06055,1 to 4,1 to 4,"CA, Napa County"
"CA, Placer",2016,Travel associated,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2016,Travel associated,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2016,Travel associated,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Benito",2016,Travel associated,06069,1 to 4,1 to 4,"CA, San Benito County"
"CA, San Francisco",2016,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2016,Travel associated,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Luis Obispo",2016,Travel associated,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, Santa Cruz",2016,Travel associated,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Solano",2016,Travel associated,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2016,Travel associated,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Stanislaus",2016,Travel associated,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Tehama",2016,Travel associated,06103,1 to 4,1 to 4,"CA, Tehama County"
"CA, Tulare",2016,Travel associated,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Tuolumne",2016,Travel associated,06109,1 to 4,1 to 4,"CA, Tuolumne County"
"CA, Ventura",2016,Travel associated,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2016,Travel associated,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Arapahoe",2016,Travel associated,08005,1 to 4,1 to 4,"CO, Arapahoe County"
"CO, Boulder",2016,Travel associated,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Eagle",2016,Travel associated,08037,1 to 4,1 to 4,"CO, Eagle County"
"CO, El Paso",2016,Travel associated,08041,1 to 4,1 to 4,"CO, El Paso County"
"CO, Jefferson",2016,Travel associated,08059,1 to 4,1 to 4,"CO, Jefferson County"
"CO, Larimer",2016,Travel associated,08069,1 to 4,1 to 4,"CO, Larimer County"
"CO, Summit",2016,Travel associated,08117,1 to 4,1 to 4,"CO, Summit County"
"CO, Weld",2016,Travel associated,08123,1 to 4,1 to 4,"CO, Weld County"
"CT, Fairfield",2016,Travel associated,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Hartford",2016,Travel associated,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, New Haven",2016,Travel associated,09009,1 to 4,1 to 4,"CT, New Haven County"
"CT, Tolland",2016,Travel associated,09013,1 to 4,1 to 4,"CT, Tolland County"
"DE, New Castle",2016,Travel associated,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Alachua",2016,Travel associated,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Brevard",2016,Travel associated,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Clay",2016,Travel associated,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Columbia",2016,Travel associated,12023,1 to 4,1 to 4,"FL, Columbia County"
"FL, Duval",2016,Travel associated,12031,1 to 4,1 to 4,"FL, Duval County"
"FL, Hillsborough",2016,Travel associated,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Indian River",2016,Travel associated,12061,1 to 4,1 to 4,"FL, Indian River County"
"FL, Lee",2016,Travel associated,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Manatee",2016,Travel associated,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Monroe",2016,Travel associated,12087,1 to 4,1 to 4,"FL, Monroe County"
"FL, Nassau",2016,Travel associated,12089,1 to 4,1 to 4,"FL, Nassau County"
"FL, Orange",2016,Travel associated,12095,1 to 4,1 to 4,"FL, Orange County"
"FL, Osceola",2016,Travel associated,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Palm Beach",2016,Travel associated,12099,1 to 4,1 to 4,"FL, Palm Beach County"
"FL, Pinellas",2016,Travel associated,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, Polk",2016,Travel associated,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, Sarasota",2016,Travel associated,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Seminole",2016,Travel associated,12117,1 to 4,1 to 4,"FL, Seminole County"
"GA, Chatham",2016,Travel associated,13051,1 to 4,1 to 4,"GA, Chatham County"
"GA, Cobb",2016,Travel associated,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, Coweta",2016,Travel associated,13077,1 to 4,1 to 4,"GA, Coweta County"
"GA, De Kalb",2016,Travel associated,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Forsyth",2016,Travel associated,13117,1 to 4,1 to 4,"GA, Forsyth County"
"GA, Gwinnett",2016,Travel associated,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"GA, Lowndes",2016,Travel associated,13185,1 to 4,1 to 4,"GA, Lowndes County"
"GA, Muscogee",2016,Travel associated,13215,1 to 4,1 to 4,"GA, Muscogee County"
"GA, Oconee",2016,Travel associated,13219,1 to 4,1 to 4,"GA, Oconee County"
"HI, Hawaii",2016,Travel associated,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Maui",2016,Travel associated,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Blaine",2016,Travel associated,16013,1 to 4,1 to 4,"ID, Blaine County"
"ID, Canyon",2016,Travel associated,16027,1 to 4,1 to 4,"ID, Canyon County"
"ID, Minidoka",2016,Travel associated,16067,1 to 4,1 to 4,"ID, Minidoka County"
"IL, Champaign",2016,Travel associated,17019,1 to 4,1 to 4,"IL, Champaign County"
"IL, Du Page",2016,Travel associated,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Kendall",2016,Travel associated,17093,1 to 4,1 to 4,"IL, Kendall County"
"IL, Lake",2016,Travel associated,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, La Salle",2016,Travel associated,17099,1 to 4,1 to 4,"IL, LaSalle County"
"IL, Ogle",2016,Travel associated,17141,1 to 4,1 to 4,"IL, Ogle County"
"IL, Peoria",2016,Travel associated,17143,1 to 4,1 to 4,"IL, Peoria County"
"IL, St Clair",2016,Travel associated,17163,1 to 4,1 to 4,"IL, St. Clair County"
"IL, Sangamon",2016,Travel associated,17167,1 to 4,1 to 4,"IL, Sangamon County"
"IL, Will",2016,Travel associated,17197,1 to 4,1 to 4,"IL, Will County"
"IN, Dearborn",2016,Travel associated,18029,1 to 4,1 to 4,"IN, Dearborn County"
"IN, Elkhart",2016,Travel associated,18039,1 to 4,1 to 4,"IN, Elkhart County"
"IN, Hamilton",2016,Travel associated,18057,1 to 4,1 to 4,"IN, Hamilton County"
"IN, Howard",2016,Travel associated,18067,1 to 4,1 to 4,"IN, Howard County"
"IN, Lawrence",2016,Travel associated,18093,1 to 4,1 to 4,"IN, Lawrence County"
"IN, St Joseph",2016,Travel associated,18141,1 to 4,1 to 4,"IN, St. Joseph County"
"IN, Tippecanoe",2016,Travel associated,18157,1 to 4,1 to 4,"IN, Tippecanoe County"
"IN, Wells",2016,Travel associated,18179,1 to 4,1 to 4,"IN, Wells County"
"IA, Carroll",2016,Travel associated,19027,1 to 4,1 to 4,"IA, Carroll County"
"IA, Dallas",2016,Travel associated,19049,1 to 4,1 to 4,"IA, Dallas County"
"IA, Hamilton",2016,Travel associated,19079,1 to 4,1 to 4,"IA, Hamilton County"
"IA, Hardin",2016,Travel associated,19083,1 to 4,1 to 4,"IA, Hardin County"
"IA, Scott",2016,Travel associated,19163,1 to 4,1 to 4,"IA, Scott County"
"KS, Douglas",2016,Travel associated,20045,1 to 4,1 to 4,"KS, Douglas County"
"KS, Johnson",2016,Travel associated,20091,1 to 4,1 to 4,"KS, Johnson County"
"KS, Mcpherson",2016,Travel associated,20113,1 to 4,1 to 4,"KS, McPherson County"
"KS, Sedgwick",2016,Travel associated,20173,1 to 4,1 to 4,"KS, Sedgwick County"
"KY, Shelby",2016,Travel associated,21211,1 to 4,1 to 4,"KY, Shelby County"
"LA, Caddo Parish",2016,Travel associated,22017,1 to 4,1 to 4,"LA, Caddo Parish"
"LA, Jefferson Parish",2016,Travel associated,22051,1 to 4,1 to 4,"LA, Jefferson Parish"
"LA, Lafayette Parish",2016,Travel associated,22055,1 to 4,1 to 4,"LA, Lafayette Parish"
"LA, Orleans Parish",2016,Travel associated,22071,1 to 4,1 to 4,"LA, Orleans Parish"
"LA, St Tammany Parish",2016,Travel associated,22103,1 to 4,1 to 4,"LA, St. Tammany Parish"
"ME, Cumberland",2016,Travel associated,23005,1 to 4,1 to 4,"ME, Cumberland County"
"ME, York",2016,Travel associated,23031,1 to 4,1 to 4,"ME, York County"
"MD, Anne Arundel",2016,Travel associated,24003,1 to 4,1 to 4,"MD, Anne Arundel County"
"MD, Baltimore",2016,Travel associated,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Harford",2016,Travel associated,24025,1 to 4,1 to 4,"MD, Harford County"
"MD, Montgomery",2016,Travel associated,24031,1 to 4,1 to 4,"MD, Montgomery County"
"MD, Prince Georges",2016,Travel associated,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MD, St Marys",2016,Travel associated,24037,1 to 4,1 to 4,"MD, St. Mary's County"
"MD, Wicomico",2016,Travel associated,24045,1 to 4,1 to 4,"MD, Wicomico County"
"MD, Worcester",2016,Travel associated,24047,1 to 4,1 to 4,"MD, Worcester County"
"MD, Baltimore City",2016,Travel associated,24510,1 to 4,1 to 4,"MD, Baltimore City"
"MA, Dukes",2016,Travel associated,25007,1 to 4,1 to 4,"MA, Dukes County"
"MA, Franklin",2016,Travel associated,25011,1 to 4,1 to 4,"MA, Franklin County"
"MA, Middlesex",2016,Travel associated,25017,1 to 4,1 to 4,"MA, Middlesex County"
"MA, Norfolk",2016,Travel associated,25021,1 to 4,1 to 4,"MA, Norfolk County"
"MA, Suffolk",2016,Travel associated,25025,1 to 4,1 to 4,"MA, Suffolk County"
"MI, Berrien",2016,Travel associated,26021,1 to 4,1 to 4,"MI, Berrien County"
"MI, Kent",2016,Travel associated,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Macomb",2016,Travel associated,26099,1 to 4,1 to 4,"MI, Macomb County"
"MI, Oakland",2016,Travel associated,26125,1 to 4,1 to 4,"MI, Oakland County"
"MI, Van Buren",2016,Travel associated,26159,1 to 4,1 to 4,"MI, Van Buren County"
"MN, Anoka",2016,Travel associated,27003,1 to 4,1 to 4,"MN, Anoka County"
"MN, Dakota",2016,Travel associated,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Morrison",2016,Travel associated,27097,1 to 4,1 to 4,"MN, Morrison County"
"MN, Ramsey",2016,Travel associated,27123,1 to 4,1 to 4,"MN, Ramsey County"
"MN, Scott",2016,Travel associated,27139,1 to 4,1 to 4,"MN, Scott County"
"MN, Stearns",2016,Travel associated,27145,1 to 4,1 to 4,"MN, Stearns County"
"MN, Wright",2016,Travel associated,27171,1 to 4,1 to 4,"MN, Wright County"
"MO, Clay",2016,Travel associated,29047,1 to 4,1 to 4,"MO, Clay County"
"MO, Greene",2016,Travel associated,29077,1 to 4,1 to 4,"MO, Greene County"
"MO, Jackson",2016,Travel associated,29095,1 to 4,1 to 4,"MO, Jackson County"
"MO, Jasper",2016,Travel associated,29097,1 to 4,1 to 4,"MO, Jasper County"
"MO, Newton",2016,Travel associated,29145,1 to 4,1 to 4,"MO, Newton County"
"MO, St Charles",2016,Travel associated,29183,1 to 4,1 to 4,"MO, St. Charles County"
"MT, Deer Lodge",2016,Travel associated,30023,1 to 4,1 to 4,"MT, Deer Lodge County"
"MT, Gallatin",2016,Travel associated,30031,1 to 4,1 to 4,"MT, Gallatin County"
"NE, Douglas",2016,Travel associated,31055,1 to 4,1 to 4,"NE, Douglas County"
"NE, Lancaster",2016,Travel associated,31109,1 to 4,1 to 4,"NE, Lancaster County"
"NV, Washoe",2016,Travel associated,32031,1 to 4,1 to 4,"NV, Washoe County"
"NH, Hillsborough",2016,Travel associated,33011,1 to 4,1 to 4,"NH, Hillsborough County"
"NJ, Atlantic",2016,Travel associated,34001,1 to 4,1 to 4,"NJ, Atlantic County"
"NJ, Camden",2016,Travel associated,34007,1 to 4,1 to 4,"NJ, Camden County"
"NJ, Essex",2016,Travel associated,34013,1 to 4,1 to 4,"NJ, Essex County"
"NJ, Hunterdon",2016,Travel associated,34019,1 to 4,1 to 4,"NJ, Hunterdon County"
"NJ, Mercer",2016,Travel associated,34021,1 to 4,1 to 4,"NJ, Mercer County"
"NJ, Monmouth",2016,Travel associated,34025,1 to 4,1 to 4,"NJ, Monmouth County"
"NJ, Morris",2016,Travel associated,34027,1 to 4,1 to 4,"NJ, Morris County"
"NJ, Ocean",2016,Travel associated,34029,1 to 4,1 to 4,"NJ, Ocean County"
"NJ, Somerset",2016,Travel associated,34035,1 to 4,1 to 4,"NJ, Somerset County"
"NJ, Union",2016,Travel associated,34039,1 to 4,1 to 4,"NJ, Union County"
"NM, Bernalillo",2016,Travel associated,35001,1 to 4,1 to 4,"NM, Bernalillo County"
"NM, Chaves",2016,Travel associated,35005,1 to 4,1 to 4,"NM, Chaves County"
"NM, Santa Fe",2016,Travel associated,35049,1 to 4,1 to 4,"NM, Santa Fe County"
"NY, Albany",2016,Travel associated,36001,1 to 4,1 to 4,"NY, Albany County"
"NY, Clinton",2016,Travel associated,36019,1 to 4,1 to 4,"NY, Clinton County"
"NY, Dutchess",2016,Travel associated,36027,1 to 4,1 to 4,"NY, Dutchess County"
"NY, Erie",2016,Travel associated,36029,1 to 4,1 to 4,"NY, Erie County"
"NY, Lewis",2016,Travel associated,36049,1 to 4,1 to 4,"NY, Lewis County"
"NY, Madison",2016,Travel associated,36053,1 to 4,1 to 4,"NY, Madison County"
"NY, Oneida",2016,Travel associated,36065,1 to 4,1 to 4,"NY, Oneida County"
"NY, Onondaga",2016,Travel associated,36067,1 to 4,1 to 4,"NY, Onondaga County"
"NY, Orange",2016,Travel associated,36071,1 to 4,1 to 4,"NY, Orange County"
"NY, Oswego",2016,Travel associated,36075,1 to 4,1 to 4,"NY, Oswego County"
"NY, Richmond",2016,Travel associated,36085,1 to 4,1 to 4,"NY, Richmond County"
"NY, Rockland",2016,Travel associated,36087,1 to 4,1 to 4,"NY, Rockland County"
"NY, Suffolk",2016,Travel associated,36103,1 to 4,1 to 4,"NY, Suffolk County"
"NC, Buncombe",2016,Travel associated,37021,1 to 4,1 to 4,"NC, Buncombe County"
"NC, Forsyth",2016,Travel associated,37067,1 to 4,1 to 4,"NC, Forsyth County"
"NC, Guilford",2016,Travel associated,37081,1 to 4,1 to 4,"NC, Guilford County"
"NC, New Hanover",2016,Travel associated,37129,1 to 4,1 to 4,"NC, New Hanover County"
"NC, Orange",2016,Travel associated,37135,1 to 4,1 to 4,"NC, Orange County"
"NC, Pitt",2016,Travel associated,37147,1 to 4,1 to 4,"NC, Pitt County"
"NC, Robeson",2016,Travel associated,37155,1 to 4,1 to 4,"NC, Robeson County"
"NC, Union",2016,Travel associated,37179,1 to 4,1 to 4,"NC, Union County"
"NC, Wake",2016,Travel associated,37183,1 to 4,1 to 4,"NC, Wake County"
"ND, Cass",2016,Travel associated,38017,1 to 4,1 to 4,"ND, Cass County"
"ND, Morton",2016,Travel associated,38059,1 to 4,1 to 4,"ND, Morton County"
"OH, Butler",2016,Travel associated,39017,1 to 4,1 to 4,"OH, Butler County"
"OH, Cuyahoga",2016,Travel associated,39035,1 to 4,1 to 4,"OH, Cuyahoga County"
"OH, Franklin",2016,Travel associated,39049,1 to 4,1 to 4,"OH, Franklin County"
"OH, Greene",2016,Travel associated,39057,1 to 4,1 to 4,"OH, Greene County"
"OK, Canadian",2016,Travel associated,40017,1 to 4,1 to 4,"OK, Canadian County"
"OK, Oklahoma",2016,Travel associated,40109,1 to 4,1 to 4,"OK, Oklahoma County"
"OK, Tulsa",2016,Travel associated,40143,1 to 4,1 to 4,"OK, Tulsa County"
"OR, Douglas",2016,Travel associated,41019,1 to 4,1 to 4,"OR, Douglas County"
"OR, Marion",2016,Travel associated,41047,1 to 4,1 to 4,"OR, Marion County"
"OR, Multnomah",2016,Travel associated,41051,1 to 4,1 to 4,"OR, Multnomah County"
"OR, Wasco",2016,Travel associated,41065,1 to 4,1 to 4,"OR, Wasco County"
"OR, Washington",2016,Travel associated,41067,1 to 4,1 to 4,"OR, Washington County"
"PA, Bucks",2016,Travel associated,42017,1 to 4,1 to 4,"PA, Bucks County"
"PA, Centre",2016,Travel associated,42027,1 to 4,1 to 4,"PA, Centre County"
"PA, Chester",2016,Travel associated,42029,1 to 4,1 to 4,"PA, Chester County"
"PA, Indiana",2016,Travel associated,42063,1 to 4,1 to 4,"PA, Indiana County"
"PA, Lancaster",2016,Travel associated,42071,1 to 4,1 to 4,"PA, Lancaster County"
"PA, Lehigh",2016,Travel associated,42077,1 to 4,1 to 4,"PA, Lehigh County"
"PA, Monroe",2016,Travel associated,42089,1 to 4,1 to 4,"PA, Monroe County"
"PA, Montgomery",2016,Travel associated,42091,1 to 4,1 to 4,"PA, Montgomery County"
"PA, Philadelphia",2016,Travel associated,42101,1 to 4,1 to 4,"PA, Philadelphia County"
"SC, Beaufort",2016,Travel associated,45013,1 to 4,1 to 4,"SC, Beaufort County"
"SC, Greenville",2016,Travel associated,45045,1 to 4,1 to 4,"SC, Greenville County"
"SC, Kershaw",2016,Travel associated,45055,1 to 4,1 to 4,"SC, Kershaw County"
"SC, Richland",2016,Travel associated,45079,1 to 4,1 to 4,"SC, Richland County"
"SD, Haakon",2016,Travel associated,46055,1 to 4,1 to 4,"SD, Haakon County"
"SD, Pennington",2016,Travel associated,46103,1 to 4,1 to 4,"SD, Pennington County"
"TN, Carroll",2016,Travel associated,47017,1 to 4,1 to 4,"TN, Carroll County"
"TN, Franklin",2016,Travel associated,47051,1 to 4,1 to 4,"TN, Franklin County"
"TN, Greene",2016,Travel associated,47059,1 to 4,1 to 4,"TN, Greene County"
"TN, Hamilton",2016,Travel associated,47065,1 to 4,1 to 4,"TN, Hamilton County"
"TN, Knox",2016,Travel associated,47093,1 to 4,1 to 4,"TN, Knox County"
"TN, Sumner",2016,Travel associated,47165,1 to 4,1 to 4,"TN, Sumner County"
"TN, Washington",2016,Travel associated,47179,1 to 4,1 to 4,"TN, Washington County"
"TN, Williamson",2016,Travel associated,47187,1 to 4,1 to 4,"TN, Williamson County"
"TX, Bell",2016,Travel associated,48027,1 to 4,1 to 4,"TX, Bell County"
"TX, Bexar",2016,Travel associated,48029,1 to 4,1 to 4,"TX, Bexar County"
"TX, Brazoria",2016,Travel associated,48039,1 to 4,1 to 4,"TX, Brazoria County"
"TX, Brown",2016,Travel associated,48049,1 to 4,1 to 4,"TX, Brown County"
"TX, Burnet",2016,Travel associated,48053,1 to 4,1 to 4,"TX, Burnet County"
"TX, Collin",2016,Travel associated,48085,1 to 4,1 to 4,"TX, Collin County"
"TX, Denton",2016,Travel associated,48121,1 to 4,1 to 4,"TX, Denton County"
"TX, Ector",2016,Travel associated,48135,1 to 4,1 to 4,"TX, Ector County"
"TX, Fort Bend",2016,Travel associated,48157,1 to 4,1 to 4,"TX, Fort Bend County"
"TX, Galveston",2016,Travel associated,48167,1 to 4,1 to 4,"TX, Galveston County"
"TX, Gregg",2016,Travel associated,48183,1 to 4,1 to 4,"TX, Gregg County"
"TX, Guadalupe",2016,Travel associated,48187,1 to 4,1 to 4,"TX, Guadalupe County"
"TX, Hays",2016,Travel associated,48209,1 to 4,1 to 4,"TX, Hays County"
"TX, Jefferson",2016,Travel associated,48245,1 to 4,1 to 4,"TX, Jefferson County"
"TX, Lubbock",2016,Travel associated,48303,1 to 4,1 to 4,"TX, Lubbock County"
"TX, Mclennan",2016,Travel associated,48309,1 to 4,1 to 4,"TX, McLennan County"
"TX, Nueces",2016,Travel associated,48355,1 to 4,1 to 4,"TX, Nueces County"
"TX, Starr",2016,Travel associated,48427,1 to 4,1 to 4,"TX, Starr County"
"TX, Tarrant",2016,Travel associated,48439,1 to 4,1 to 4,"TX, Tarrant County"
"TX, Travis",2016,Travel associated,48453,1 to 4,1 to 4,"TX, Travis County"
"TX, Williamson",2016,Travel associated,48491,1 to 4,1 to 4,"TX, Williamson County"
"UT, Salt Lake",2016,Travel associated,49035,1 to 4,1 to 4,"UT, Salt Lake County"
"UT, Utah",2016,Travel associated,49049,1 to 4,1 to 4,"UT, Utah County"
"UT, Weber",2016,Travel associated,49057,1 to 4,1 to 4,"UT, Weber County"
"VT, Chittenden",2016,Travel associated,50007,1 to 4,1 to 4,"VT, Chittenden County"
"VT, Franklin",2016,Travel associated,50011,1 to 4,1 to 4,"VT, Franklin County"
"VT, Rutland",2016,Travel associated,50021,1 to 4,1 to 4,"VT, Rutland County"
"VA, Albemarle",2016,Travel associated,51003,1 to 4,1 to 4,"VA, Albemarle County"
"VA, Henrico",2016,Travel associated,51087,1 to 4,1 to 4,"VA, Henrico County"
"VA, Loudoun",2016,Travel associated,51107,1 to 4,1 to 4,"VA, Loudoun County"
"VA, Montgomery",2016,Travel associated,51121,1 to 4,1 to 4,"VA, Montgomery County"
"VA, Prince William",2016,Travel associated,51153,1 to 4,1 to 4,"VA, Prince William County"
"VA, Roanoke",2016,Travel associated,51161,1 to 4,1 to 4,"VA, Roanoke County"
"VA, Alexandria City",2016,Travel associated,51510,1 to 4,1 to 4,"VA, Alexandria, City of"
"VA, Charlottesville City",2016,Travel associated,51540,1 to 4,1 to 4,"VA, Charlottesville, City of"
"VA, Norfolk City",2016,Travel associated,51710,1 to 4,1 to 4,"VA, Norfolk, City of"
"VA, Virginia Beach City",2016,Travel associated,51810,1 to 4,1 to 4,"VA, Virginia Beach, City of"
"VA, Williamsburg City",2016,Travel associated,51830,1 to 4,1 to 4,"VA, Williamsburg, City of"
"WA, Kitsap",2016,Travel associated,53035,1 to 4,1 to 4,"WA, Kitsap County"
"WA, Pierce",2016,Travel associated,53053,1 to 4,1 to 4,"WA, Pierce County"
"WA, Skagit",2016,Travel associated,53057,1 to 4,1 to 4,"WA, Skagit County"
"WA, Snohomish",2016,Travel associated,53061,1 to 4,1 to 4,"WA, Snohomish County"
"WA, Yakima",2016,Travel associated,53077,1 to 4,1 to 4,"WA, Yakima County"
"WI, Dane",2016,Travel associated,55025,1 to 4,1 to 4,"WI, Dane County"
"WI, Milwaukee",2016,Travel associated,55079,1 to 4,1 to 4,"WI, Milwaukee County"
"WI, Sauk",2016,Travel associated,55111,1 to 4,1 to 4,"WI, Sauk County"
"WI, Walworth",2016,Travel associated,55127,1 to 4,1 to 4,"WI, Walworth County"
"WI, Waukesha",2016,Travel associated,55133,1 to 4,1 to 4,"WI, Waukesha County"
"AS, Eastern District",2016,Travel associated,60010,1 to 4,1 to 4,"AS, Eastern District"
"GU, Guam",2016,Travel associated,66010,1 to 4,1 to 4,"GU, Guam"
"AZ, Maricopa",2016,Travel associated,04013,11,5 to 49,"AZ, Maricopa County"
"CA, Alameda",2016,Travel associated,06001,16,5 to 49,"CA, Alameda County"
"CA, Contra Costa",2016,Travel associated,06013,10,5 to 49,"CA, Contra Costa County"
"CA, Fresno",2016,Travel associated,06019,6,5 to 49,"CA, Fresno County"
"CA, Orange",2016,Travel associated,06059,12,5 to 49,"CA, Orange County"
"CA, San Bernardino",2016,Travel associated,06071,6,5 to 49,"CA, San Bernardino County"
"CA, San Diego",2016,Travel associated,06073,21,5 to 49,"CA, San Diego County"
"CA, San Mateo",2016,Travel associated,06081,7,5 to 49,"CA, San Mateo County"
"CA, Santa Barbara",2016,Travel associated,06083,5,5 to 49,"CA, Santa Barbara County"
"CA, Santa Clara",2016,Travel associated,06085,20,5 to 49,"CA, Santa Clara County"
"CO, Denver",2016,Travel associated,08031,5,5 to 49,"CO, Denver, City and County of"
"DC, Washington",2016,Travel associated,11001,9,5 to 49,"DC, District of Columbia"
"FL, Broward",2016,Travel associated,12011,12,5 to 49,"FL, Broward County"
"FL, Miami-Dade",2016,Travel associated,12086,23,5 to 49,"FL, Miami-Dade County"
"GA, Fulton",2016,Travel associated,13121,6,5 to 49,"GA, Fulton County"
"HI, Honolulu",2016,Travel associated,15003,6,5 to 49,"HI, Honolulu, City and County of"
"IL, Cook",2016,Travel associated,17031,20,5 to 49,"IL, Cook County"
"IA, Sioux",2016,Travel associated,19167,6,5 to 49,"IA, Sioux County"
"MI, Washtenaw",2016,Travel associated,26161,5,5 to 49,"MI, Washtenaw County"
"MI, Wayne",2016,Travel associated,26163,5,5 to 49,"MI, Wayne County"
"MN, Hennepin",2016,Travel associated,27053,15,5 to 49,"MN, Hennepin County"
"MN, Washington",2016,Travel associated,27163,6,5 to 49,"MN, Washington County"
"MO, St Louis",2016,Travel associated,29189,6,5 to 49,"MO, St. Louis County"
