FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Franklin",2015,Travel associated,01059,1 to 4,1 to 4,"AL, Franklin County"
"AL, Jefferson",2015,Travel associated,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Shelby",2015,Travel associated,01117,1 to 4,1 to 4,"AL, Shelby County"
"AZ, Cochise",2015,Travel associated,04003,1 to 4,1 to 4,"AZ, Cochise County"
"AZ, Mohave",2015,Travel associated,04015,1 to 4,1 to 4,"AZ, Mohave County"
"AZ, Pima",2015,Travel associated,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Santa Cruz",2015,Travel associated,04023,1 to 4,1 to 4,"AZ, Santa Cruz County"
"AZ, Yavapai",2015,Travel associated,04025,1 to 4,1 to 4,"AZ, Yavapai County"
"AZ, Yuma",2015,Travel associated,04027,1 to 4,1 to 4,"AZ, Yuma County"
"AR, Benton",2015,Travel associated,05007,1 to 4,1 to 4,"AR, Benton County"
"CA, Fresno",2015,Travel associated,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Imperial",2015,Travel associated,06025,1 to 4,1 to 4,"CA, Imperial County"
"CA, Kern",2015,Travel associated,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Marin",2015,Travel associated,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Monterey",2015,Travel associated,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Placer",2015,Travel associated,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, San Bernardino",2015,Travel associated,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Francisco",2015,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Luis Obispo",2015,Travel associated,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, Santa Barbara",2015,Travel associated,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2015,Travel associated,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Stanislaus",2015,Travel associated,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Tulare",2015,Travel associated,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Yolo",2015,Travel associated,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Arapahoe",2015,Travel associated,08005,1 to 4,1 to 4,"CO, Arapahoe County"
