FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Tuscaloosa",2021,Travel associated,01125,1 to 4,1 to 4,"AL, Tuscaloosa County"
"AZ, Pinal",2021,Travel associated,04021,1 to 4,1 to 4,"AZ, Pinal County"
"CA, Alameda",2021,Travel associated,06001,1 to 4,1 to 4,"CA, Alameda County"
"CA, Fresno",2021,Travel associated,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Sacramento",2021,Travel associated,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Diego",2021,Travel associated,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Joaquin",2021,Travel associated,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Mateo",2021,Travel associated,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Santa Barbara",2021,Travel associated,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Solano",2021,Travel associated,06095,1 to 4,1 to 4,"CA, Solano County"
"CO, Adams",2021,Travel associated,08001,1 to 4,1 to 4,"CO, Adams County"
"CO, Douglas",2021,Travel associated,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, El Paso",2021,Travel associated,08041,1 to 4,1 to 4,"CO, El Paso County"
"DE, Kent",2021,Travel associated,10001,1 to 4,1 to 4,"DE, Kent County"
"DC, Washington",2021,Travel associated,11001,1 to 4,1 to 4,"DC, District of Columbia"
"FL, Bay",2021,Travel associated,12005,1 to 4,1 to 4,"FL, Bay County"
"FL, Broward",2021,Travel associated,12011,1 to 4,1 to 4,"FL, Broward County"
"FL, Hernando",2021,Travel associated,12053,1 to 4,1 to 4,"FL, Hernando County"
"FL, Hillsborough",2021,Travel associated,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Leon",2021,Travel associated,12073,1 to 4,1 to 4,"FL, Leon County"
"FL, Monroe",2021,Travel associated,12087,1 to 4,1 to 4,"FL, Monroe County"
"FL, Orange",2021,Travel associated,12095,1 to 4,1 to 4,"FL, Orange County"
"FL, St Lucie",2021,Travel associated,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Sarasota",2021,Travel associated,12115,1 to 4,1 to 4,"FL, Sarasota County"
"IL, Cook",2021,Travel associated,17031,1 to 4,1 to 4,"IL, Cook County"
"IL, Du Page",2021,Travel associated,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Kane",2021,Travel associated,17089,1 to 4,1 to 4,"IL, Kane County"
"IL, Lake",2021,Travel associated,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, Peoria",2021,Travel associated,17143,1 to 4,1 to 4,"IL, Peoria County"
"IN, St Joseph",2021,Travel associated,18141,1 to 4,1 to 4,"IN, St. Joseph County"
"IA, Dallas",2021,Travel associated,19049,1 to 4,1 to 4,"IA, Dallas County"
"IA, Johnson",2021,Travel associated,19103,1 to 4,1 to 4,"IA, Johnson County"
"LA, Rapides Parish",2021,Travel associated,22079,1 to 4,1 to 4,"LA, Rapides Parish"
"LA, Vermilion Parish",2021,Travel associated,22113,1 to 4,1 to 4,"LA, Vermilion Parish"
"MD, Baltimore",2021,Travel associated,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Montgomery",2021,Travel associated,24031,1 to 4,1 to 4,"MD, Montgomery County"
"MD, Prince Georges",2021,Travel associated,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MA, Essex",2021,Travel associated,25009,1 to 4,1 to 4,"MA, Essex County"
"MA, Hampshire",2021,Travel associated,25015,1 to 4,1 to 4,"MA, Hampshire County"
"MA, Middlesex",2021,Travel associated,25017,1 to 4,1 to 4,"MA, Middlesex County"
"MA, Norfolk",2021,Travel associated,25021,1 to 4,1 to 4,"MA, Norfolk County"
"MA, Suffolk",2021,Travel associated,25025,1 to 4,1 to 4,"MA, Suffolk County"
"MA, Worcester",2021,Travel associated,25027,1 to 4,1 to 4,"MA, Worcester County"
"MI, Kent",2021,Travel associated,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Oakland",2021,Travel associated,26125,1 to 4,1 to 4,"MI, Oakland County"
"MI, Washtenaw",2021,Travel associated,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MN, Hennepin",2021,Travel associated,27053,1 to 4,1 to 4,"MN, Hennepin County"
"MN, Rice",2021,Travel associated,27131,1 to 4,1 to 4,"MN, Rice County"
"NE, Adams",2021,Travel associated,31001,1 to 4,1 to 4,"NE, Adams County"
