FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Baldwin",2018,Travel associated,01003,1 to 4,1 to 4,"AL, Baldwin County"
"AL, Jefferson",2018,Travel associated,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Mobile",2018,Travel associated,01097,1 to 4,1 to 4,"AL, Mobile County"
AK,2018,Travel associated,02999,1 to 4,1 to 4,"AK, Alaska"
"AZ, Cochise",2018,Travel associated,04003,1 to 4,1 to 4,"AZ, Cochise County"
"AZ, Gila",2018,Travel associated,04007,1 to 4,1 to 4,"AZ, Gila County"
"AZ, Pima",2018,Travel associated,04019,1 to 4,1 to 4,"AZ, Pima County"
"AR, Benton",2018,Travel associated,05007,1 to 4,1 to 4,"AR, Benton County"
"AR, Greene",2018,Travel associated,05055,1 to 4,1 to 4,"AR, Greene County"
"CA, Kern",2018,Travel associated,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Placer",2018,Travel associated,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2018,Travel associated,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2018,Travel associated,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Benito",2018,Travel associated,06069,1 to 4,1 to 4,"CA, San Benito County"
"CA, San Francisco",2018,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Luis Obispo",2018,Travel associated,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, Santa Cruz",2018,Travel associated,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Shasta",2018,Travel associated,06089,1 to 4,1 to 4,"CA, Shasta County"
"CA, Solano",2018,Travel associated,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Stanislaus",2018,Travel associated,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Tulare",2018,Travel associated,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Tuolumne",2018,Travel associated,06109,1 to 4,1 to 4,"CA, Tuolumne County"
"CA, Ventura",2018,Travel associated,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2018,Travel associated,06113,1 to 4,1 to 4,"CA, Yolo County"
"CA, Yuba",2018,Travel associated,06115,1 to 4,1 to 4,"CA, Yuba County"
"CO, Arapahoe",2018,Travel associated,08005,1 to 4,1 to 4,"CO, Arapahoe County"
"CO, Boulder",2018,Travel associated,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Denver",2018,Travel associated,08031,1 to 4,1 to 4,"CO, Denver, City and County of"
"CO, Douglas",2018,Travel associated,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, El Paso",2018,Travel associated,08041,1 to 4,1 to 4,"CO, El Paso County"
"CO, Larimer",2018,Travel associated,08069,1 to 4,1 to 4,"CO, Larimer County"
"CT, Fairfield",2018,Travel associated,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Middlesex",2018,Travel associated,09007,1 to 4,1 to 4,"CT, Middlesex County"
"CT, New Haven",2018,Travel associated,09009,1 to 4,1 to 4,"CT, New Haven County"
"CT, New London",2018,Travel associated,09011,1 to 4,1 to 4,"CT, New London County"
"DC, Washington",2018,Travel associated,11001,1 to 4,1 to 4,"DC, District of Columbia"
"FL, Charlotte",2018,Travel associated,12015,1 to 4,1 to 4,"FL, Charlotte County"
"FL, Citrus",2018,Travel associated,12017,1 to 4,1 to 4,"FL, Citrus County"
"FL, Lake",2018,Travel associated,12069,1 to 4,1 to 4,"FL, Lake County"
"FL, Lee",2018,Travel associated,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Manatee",2018,Travel associated,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Monroe",2018,Travel associated,12087,1 to 4,1 to 4,"FL, Monroe County"
"FL, Orange",2018,Travel associated,12095,1 to 4,1 to 4,"FL, Orange County"
"GA, Bryan",2018,Travel associated,13029,1 to 4,1 to 4,"GA, Bryan County"
"GA, Coweta",2018,Travel associated,13077,1 to 4,1 to 4,"GA, Coweta County"
"GA, De Kalb",2018,Travel associated,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Fulton",2018,Travel associated,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Glynn",2018,Travel associated,13127,1 to 4,1 to 4,"GA, Glynn County"
"GA, Lowndes",2018,Travel associated,13185,1 to 4,1 to 4,"GA, Lowndes County"
"GA, Paulding",2018,Travel associated,13223,1 to 4,1 to 4,"GA, Paulding County"
"HI, Hawaii",2018,Travel associated,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Kauai",2018,Travel associated,15007,1 to 4,1 to 4,"HI, Kauai County"
"HI, Maui",2018,Travel associated,15009,1 to 4,1 to 4,"HI, Maui County"
"IL, Du Page",2018,Travel associated,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Grundy",2018,Travel associated,17063,1 to 4,1 to 4,"IL, Grundy County"
"IL, Jackson",2018,Travel associated,17077,1 to 4,1 to 4,"IL, Jackson County"
"IL, Lake",2018,Travel associated,17097,1 to 4,1 to 4,"IL, Lake County"
"IN, Hamilton",2018,Travel associated,18057,1 to 4,1 to 4,"IN, Hamilton County"
"IN, Porter",2018,Travel associated,18127,1 to 4,1 to 4,"IN, Porter County"
"IA, Cerro Gordo",2018,Travel associated,19033,1 to 4,1 to 4,"IA, Cerro Gordo County"
"IA, Linn",2018,Travel associated,19113,1 to 4,1 to 4,"IA, Linn County"
"IA, Scott",2018,Travel associated,19163,1 to 4,1 to 4,"IA, Scott County"
"IA, Story",2018,Travel associated,19169,1 to 4,1 to 4,"IA, Story County"
"IA, Wright",2018,Travel associated,19197,1 to 4,1 to 4,"IA, Wright County"
"KS, Greenwood",2018,Travel associated,20073,1 to 4,1 to 4,"KS, Greenwood County"
"KS, Johnson",2018,Travel associated,20091,1 to 4,1 to 4,"KS, Johnson County"
"KY, Hopkins",2018,Travel associated,21107,1 to 4,1 to 4,"KY, Hopkins County"
"KY, Jefferson",2018,Travel associated,21111,1 to 4,1 to 4,"KY, Jefferson County"
"KY, Kenton",2018,Travel associated,21117,1 to 4,1 to 4,"KY, Kenton County"
"LA, Caddo Parish",2018,Travel associated,22017,1 to 4,1 to 4,"LA, Caddo Parish"
"LA, St Tammany Parish",2018,Travel associated,22103,1 to 4,1 to 4,"LA, St. Tammany Parish"
"ME, Androscoggin",2018,Travel associated,23001,1 to 4,1 to 4,"ME, Androscoggin County"
"ME, Cumberland",2018,Travel associated,23005,1 to 4,1 to 4,"ME, Cumberland County"
"ME, Waldo",2018,Travel associated,23027,1 to 4,1 to 4,"ME, Waldo County"
"MD, Baltimore",2018,Travel associated,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Howard",2018,Travel associated,24027,1 to 4,1 to 4,"MD, Howard County"
"MD, Montgomery",2018,Travel associated,24031,1 to 4,1 to 4,"MD, Montgomery County"
"MD, Prince Georges",2018,Travel associated,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MA, Middlesex",2018,Travel associated,25017,1 to 4,1 to 4,"MA, Middlesex County"
"MA, Norfolk",2018,Travel associated,25021,1 to 4,1 to 4,"MA, Norfolk County"
"MI, Genesee",2018,Travel associated,26049,1 to 4,1 to 4,"MI, Genesee County"
"MI, Grand Traverse",2018,Travel associated,26055,1 to 4,1 to 4,"MI, Grand Traverse County"
"MI, Gratiot",2018,Travel associated,26057,1 to 4,1 to 4,"MI, Gratiot County"
"MI, Kent",2018,Travel associated,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Oakland",2018,Travel associated,26125,1 to 4,1 to 4,"MI, Oakland County"
"MI, St Clair",2018,Travel associated,26147,1 to 4,1 to 4,"MI, St. Clair County"
"MI, Washtenaw",2018,Travel associated,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MN, Anoka",2018,Travel associated,27003,1 to 4,1 to 4,"MN, Anoka County"
"MN, Dakota",2018,Travel associated,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Ramsey",2018,Travel associated,27123,1 to 4,1 to 4,"MN, Ramsey County"
"MN, Rice",2018,Travel associated,27131,1 to 4,1 to 4,"MN, Rice County"
"MO, Platte",2018,Travel associated,29165,1 to 4,1 to 4,"MO, Platte County"
"MT, Gallatin",2018,Travel associated,30031,1 to 4,1 to 4,"MT, Gallatin County"
