FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Baldwin",2010,Travel associated,01003,1 to 4,1 to 4,"AL, Baldwin County"
"AL, Jefferson",2010,Travel associated,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Madison",2010,Travel associated,01089,1 to 4,1 to 4,"AL, Madison County"
"AL, Mobile",2010,Travel associated,01097,1 to 4,1 to 4,"AL, Mobile County"
"AK, Anchorage Muny",2010,Travel associated,02020,1 to 4,1 to 4,"AK, Anchorage, Municipality of"
"AZ, Pima",2010,Travel associated,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Pinal",2010,Travel associated,04021,1 to 4,1 to 4,"AZ, Pinal County"
"AZ, Yavapai",2010,Travel associated,04025,1 to 4,1 to 4,"AZ, Yavapai County"
"AR, Chicot",2010,Travel associated,05017,1 to 4,1 to 4,"AR, Chicot County"
"CA, Amador",2010,Travel associated,06005,1 to 4,1 to 4,"CA, Amador County"
"CA, Colusa",2010,Travel associated,06011,1 to 4,1 to 4,"CA, Colusa County"
"CA, Kern",2010,Travel associated,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Los Angeles",2010,Travel associated,06037,1 to 4,1 to 4,"CA, Los Angeles County"
"CA, Marin",2010,Travel associated,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Nevada",2010,Travel associated,06057,1 to 4,1 to 4,"CA, Nevada County"
"CA, Orange",2010,Travel associated,06059,1 to 4,1 to 4,"CA, Orange County"
"CA, Placer",2010,Travel associated,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2010,Travel associated,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, San Diego",2010,Travel associated,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Francisco",2010,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2010,Travel associated,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Luis Obispo",2010,Travel associated,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, San Mateo",2010,Travel associated,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Solano",2010,Travel associated,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2010,Travel associated,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Tulare",2010,Travel associated,06107,1 to 4,1 to 4,"CA, Tulare County"
"FL, Alachua",2010,Travel associated,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Brevard",2010,Travel associated,12009,1 to 4,1 to 4,"FL, Brevard County"
