FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AK, Anchorage Muny",2017,Travel associated,02020,1 to 4,1 to 4,"AK, Anchorage, Municipality of"
"AZ, Maricopa",2017,Travel associated,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"CA, Butte",2017,Travel associated,06007,1 to 4,1 to 4,"CA, Butte County"
"CA, Contra Costa",2017,Travel associated,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, El Dorado",2017,Travel associated,06017,1 to 4,1 to 4,"CA, El Dorado County"
"CA, Fresno",2017,Travel associated,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Humboldt",2017,Travel associated,06023,1 to 4,1 to 4,"CA, Humboldt County"
"CA, Marin",2017,Travel associated,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Monterey",2017,Travel associated,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Nevada",2017,Travel associated,06057,1 to 4,1 to 4,"CA, Nevada County"
"CA, Placer",2017,Travel associated,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2017,Travel associated,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, San Bernardino",2017,Travel associated,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Francisco",2017,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2017,Travel associated,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Luis Obispo",2017,Travel associated,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, San Mateo",2017,Travel associated,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Santa Barbara",2017,Travel associated,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2017,Travel associated,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Solano",2017,Travel associated,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2017,Travel associated,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Stanislaus",2017,Travel associated,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Ventura",2017,Travel associated,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2017,Travel associated,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Boulder",2017,Travel associated,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Douglas",2017,Travel associated,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, Jefferson",2017,Travel associated,08059,1 to 4,1 to 4,"CO, Jefferson County"
"CT, Fairfield",2017,Travel associated,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Hartford",2017,Travel associated,09003,1 to 4,1 to 4,"CT, Hartford County"
