FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Chilton",2011,Travel associated,01021,1 to 4,1 to 4,"AL, Chilton County"
"AL, Jefferson",2011,Travel associated,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Montgomery",2011,Travel associated,01101,1 to 4,1 to 4,"AL, Montgomery County"
"AL, Tuscaloosa",2011,Travel associated,01125,1 to 4,1 to 4,"AL, Tuscaloosa County"
"AZ, Maricopa",2011,Travel associated,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"CA, Contra Costa",2011,Travel associated,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2011,Travel associated,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Sacramento",2011,Travel associated,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Diego",2011,Travel associated,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Mateo",2011,Travel associated,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CT, New Haven",2011,Travel associated,09009,1 to 4,1 to 4,"CT, New Haven County"
"DE, New Castle",2011,Travel associated,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Brevard",2011,Travel associated,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Broward",2011,Travel associated,12011,1 to 4,1 to 4,"FL, Broward County"
"FL, Clay",2011,Travel associated,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Columbia",2011,Travel associated,12023,1 to 4,1 to 4,"FL, Columbia County"
"FL, Flagler",2011,Travel associated,12035,1 to 4,1 to 4,"FL, Flagler County"
"FL, Gulf",2011,Travel associated,12045,1 to 4,1 to 4,"FL, Gulf County"
"FL, Hendry",2011,Travel associated,12051,1 to 4,1 to 4,"FL, Hendry County"
"FL, Hillsborough",2011,Travel associated,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Lee",2011,Travel associated,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Marion",2011,Travel associated,12083,1 to 4,1 to 4,"FL, Marion County"
