FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Madison",2012,Travel associated,01089,1 to 4,1 to 4,"AL, Madison County"
"AL, Mobile",2012,Travel associated,01097,1 to 4,1 to 4,"AL, Mobile County"
AK,2012,Travel associated,02999,1 to 4,1 to 4,"AK, Alaska"
"AZ, Pima",2012,Travel associated,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Yuma",2012,Travel associated,04027,1 to 4,1 to 4,"AZ, Yuma County"
"CA, Contra Costa",2012,Travel associated,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2012,Travel associated,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Los Angeles",2012,Travel associated,06037,1 to 4,1 to 4,"CA, Los Angeles County"
"CA, Monterey",2012,Travel associated,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Orange",2012,Travel associated,06059,1 to 4,1 to 4,"CA, Orange County"
"CA, Riverside",2012,Travel associated,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2012,Travel associated,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Bernardino",2012,Travel associated,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Francisco",2012,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Luis Obispo",2012,Travel associated,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, San Mateo",2012,Travel associated,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Santa Barbara",2012,Travel associated,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2012,Travel associated,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Sonoma",2012,Travel associated,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Ventura",2012,Travel associated,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2012,Travel associated,06113,1 to 4,1 to 4,"CA, Yolo County"
"CT, Hartford",2012,Travel associated,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, Middlesex",2012,Travel associated,09007,1 to 4,1 to 4,"CT, Middlesex County"
"CT, New London",2012,Travel associated,09011,1 to 4,1 to 4,"CT, New London County"
"CT, Windham",2012,Travel associated,09015,1 to 4,1 to 4,"CT, Windham County"
"FL, Brevard",2012,Travel associated,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Collier",2012,Travel associated,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, Duval",2012,Travel associated,12031,1 to 4,1 to 4,"FL, Duval County"
