FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AS, Olosega",2017,Locally acquired,60020,1 to 4,1 to 4,"AS, Manu'a District"
"PR, Adjuntas",2017,Locally acquired,72001,1 to 4,1 to 4,"PR, Adjuntas Municipality"
"PR, Cayey",2017,Locally acquired,72035,1 to 4,1 to 4,"PR, Cayey Municipality"
"PR, Juana Diaz",2017,Locally acquired,72075,1 to 4,1 to 4,"PR, Juana Diaz Municipality"
"PR, Orocovis",2017,Locally acquired,72107,1 to 4,1 to 4,"PR, Orocovis Municipality"
"PR, Penuelas",2017,Locally acquired,72111,1 to 4,1 to 4,"PR, Penuelas Municipality"
"PR, Ponce",2017,Locally acquired,72113,1 to 4,1 to 4,"PR, Ponce Municipality"
"PR, Villalba",2017,Locally acquired,72149,1 to 4,1 to 4,"PR, Villalba Municipality"
"VI, St. Thomas",2017,Locally acquired,78030,1 to 4,1 to 4,"VI, Saint Thomas Island"
"AS, Eastern District",2017,Locally acquired,60010,218,50 to 249,"AS, Eastern District"
"AS, Tutuila",2017,Locally acquired,60050,289,250+,"AS, Western District"
