FullGeoName,Year,Travel status,County,Count,Legend,Notes
"GU, Guam",2021,Locally acquired,66010,1 to 4,1 to 4,"GU, Guam"
,2021,Locally acquired,70001,1 to 4,1 to 4,"PW, Unk"
"PR, Aguas Buenas",2021,Locally acquired,72007,1 to 4,1 to 4,"PR, Aguas Buenas Municipality"
"PR, Arroyo",2021,Locally acquired,72015,1 to 4,1 to 4,"PR, Arroyo Municipality"
"PR, Barceloneta",2021,Locally acquired,72017,1 to 4,1 to 4,"PR, Barceloneta Municipality"
"PR, Cabo Rojo",2021,Locally acquired,72023,1 to 4,1 to 4,"PR, Cabo Rojo Municipality"
"PR, Camuy",2021,Locally acquired,72027,1 to 4,1 to 4,"PR, Camuy Municipality"
"PR, Cayey",2021,Locally acquired,72035,1 to 4,1 to 4,"PR, Cayey Municipality"
"PR, Ceiba",2021,Locally acquired,72037,1 to 4,1 to 4,"PR, Ceiba Municipality"
"PR, Ciales Municipality",2021,Locally acquired,72039,1 to 4,1 to 4,"PR, Ciales Municipality"
"PR, Corozal",2021,Locally acquired,72047,1 to 4,1 to 4,"PR, Corozal Municipality"
"PR, Culebra",2021,Locally acquired,72049,1 to 4,1 to 4,"PR, Culebra Municipality"
"PR, Dorado",2021,Locally acquired,72051,1 to 4,1 to 4,"PR, Dorado Municipality"
"PR, Fajardo",2021,Locally acquired,72053,1 to 4,1 to 4,"PR, Fajardo Municipality"
"PR, Florida",2021,Locally acquired,72054,1 to 4,1 to 4,"PR, Florida Municipality"
"PR, Gurabo",2021,Locally acquired,72063,1 to 4,1 to 4,"PR, Gurabo Municipality"
"PR, Hatillo",2021,Locally acquired,72065,1 to 4,1 to 4,"PR, Hatillo Municipality"
"PR, Juana Diaz",2021,Locally acquired,72075,1 to 4,1 to 4,"PR, Juana Diaz Municipality"
"PR, Juncos",2021,Locally acquired,72077,1 to 4,1 to 4,"PR, Juncos Municipality"
"PR, Las Piedras",2021,Locally acquired,72085,1 to 4,1 to 4,"PR, Las Piedras Municipality"
"PR, Manati",2021,Locally acquired,72091,1 to 4,1 to 4,"PR, Manati Municipality"
"PR, Mayaguez",2021,Locally acquired,72097,1 to 4,1 to 4,"PR, Mayaguez Municipality"
"PR, Moca",2021,Locally acquired,72099,1 to 4,1 to 4,"PR, Moca Municipality"
"PR, Nabuabo",2021,Locally acquired,72103,1 to 4,1 to 4,"PR, Naguabo Municipality"
"PR, Naranjito",2021,Locally acquired,72105,1 to 4,1 to 4,"PR, Naranjito Municipality"
"PR, Quebradillas",2021,Locally acquired,72115,1 to 4,1 to 4,"PR, Quebradillas Municipality"
"PR, San Lorenzo",2021,Locally acquired,72129,1 to 4,1 to 4,"PR, San Lorenzo Municipality"
"PR, San Sabastian",2021,Locally acquired,72131,1 to 4,1 to 4,"PR, San Sebastian Municipality"
"PR, Santa Isabel",2021,Locally acquired,72133,1 to 4,1 to 4,"PR, Santa Isabel Municipality"
"PR, Vega Alta",2021,Locally acquired,72143,1 to 4,1 to 4,"PR, Vega Alta Municipality"
"PR, Vega Baja",2021,Locally acquired,72145,1 to 4,1 to 4,"PR, Vega Baja Municipality"
"PR, Villalba",2021,Locally acquired,72149,1 to 4,1 to 4,"PR, Villalba Municipality"
"PR, Yabucoa",2021,Locally acquired,72151,1 to 4,1 to 4,"PR, Yabucoa Municipality"
"PR, Arecibo",2021,Locally acquired,72013,5,5 to 49,"PR, Arecibo Municipality"
"PR, Caguas",2021,Locally acquired,72025,17,5 to 49,"PR, Caguas Municipality"
"PR, Canovanas",2021,Locally acquired,72029,13,5 to 49,"PR, Canovanas Municipality"
"PR, Carolina",2021,Locally acquired,72031,37,5 to 49,"PR, Carolina Municipality"
"PR, Catano",2021,Locally acquired,72033,9,5 to 49,"PR, Catano Municipality"
"PR, Guayama",2021,Locally acquired,72057,8,5 to 49,"PR, Guayama Municipality"
"PR, Guaynabo",2021,Locally acquired,72061,32,5 to 49,"PR, Guaynabo Municipality"
"PR, Humacao Municipality",2021,Locally acquired,72069,10,5 to 49,"PR, Humacao Municipality"
"PR, Loiza",2021,Locally acquired,72087,5,5 to 49,"PR, Loiza Municipality"
"PR, Morovis",2021,Locally acquired,72101,6,5 to 49,"PR, Morovis Municipality"
"PR, Patillas",2021,Locally acquired,72109,6,5 to 49,"PR, Patillas Municipality"
"PR, Ponce",2021,Locally acquired,72113,6,5 to 49,"PR, Ponce Municipality"
"PR, Rio Grande",2021,Locally acquired,72119,9,5 to 49,"PR, Rio Grande Municipality"
"PR, Salinas",2021,Locally acquired,72123,5,5 to 49,"PR, Salinas Municipality"
"PR, Toa Alta",2021,Locally acquired,72135,16,5 to 49,"PR, Toa Alta Municipality"
"PR, Toa Baja",2021,Locally acquired,72137,16,5 to 49,"PR, Toa Baja Municipality"
"PR, Trujillo Alto",2021,Locally acquired,72139,18,5 to 49,"PR, Trujillo Alto Municipality"
"PR, Bayamon",2021,Locally acquired,72021,93,50 to 249,"PR, Bayamon Municipality"
"PR, San Juan",2021,Locally acquired,72127,237,50 to 249,"PR, San Juan Municipality"
