FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AZ, Maricopa",2022,Locally acquired,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"FL, Broward",2022,Locally acquired,12011,1 to 4,1 to 4,"FL, Broward County"
"FL, Collier",2022,Locally acquired,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, Volusia",2022,Locally acquired,12127,1 to 4,1 to 4,"FL, Volusia County"
"AS, Eastern District",2022,Locally acquired,60010,1 to 4,1 to 4,"AS, Eastern District"
"PR, Adjuntas",2022,Locally acquired,72001,1 to 4,1 to 4,"PR, Adjuntas Municipality"
"PR, Aguada",2022,Locally acquired,72003,1 to 4,1 to 4,"PR, Aguada Municipality"
"PR, Aibonito",2022,Locally acquired,72009,1 to 4,1 to 4,"PR, Aibonito Municipality"
"PR, Arroyo",2022,Locally acquired,72015,1 to 4,1 to 4,"PR, Arroyo Municipality"
"PR, Barranquitas",2022,Locally acquired,72019,1 to 4,1 to 4,"PR, Barranquitas Municipality"
"PR, Canovanas",2022,Locally acquired,72029,1 to 4,1 to 4,"PR, Canovanas Municipality"
"PR, Ceiba",2022,Locally acquired,72037,1 to 4,1 to 4,"PR, Ceiba Municipality"
"PR, Ciales Municipality",2022,Locally acquired,72039,1 to 4,1 to 4,"PR, Ciales Municipality"
"PR, Cidra",2022,Locally acquired,72041,1 to 4,1 to 4,"PR, Cidra Municipality"
"PR, Florida",2022,Locally acquired,72054,1 to 4,1 to 4,"PR, Florida Municipality"
"PR, Guayama",2022,Locally acquired,72057,1 to 4,1 to 4,"PR, Guayama Municipality"
"PR, Guayanilla",2022,Locally acquired,72059,1 to 4,1 to 4,"PR, Guayanilla Municipality"
"PR, Isabela",2022,Locally acquired,72071,1 to 4,1 to 4,"PR, Isabela Municipality"
"PR, Jayuya",2022,Locally acquired,72073,1 to 4,1 to 4,"PR, Jayuya Municipality"
"PR, Lares",2022,Locally acquired,72081,1 to 4,1 to 4,"PR, Lares Municipality"
"PR, Las Marias",2022,Locally acquired,72083,1 to 4,1 to 4,"PR, Las Marias Municipality"
"PR, Las Piedras",2022,Locally acquired,72085,1 to 4,1 to 4,"PR, Las Piedras Municipality"
"PR, Manati",2022,Locally acquired,72091,1 to 4,1 to 4,"PR, Manati Municipality"
"PR, Maricao",2022,Locally acquired,72093,1 to 4,1 to 4,"PR, Maricao Municipality"
"PR, Moca",2022,Locally acquired,72099,1 to 4,1 to 4,"PR, Moca Municipality"
"PR, Nabuabo",2022,Locally acquired,72103,1 to 4,1 to 4,"PR, Naguabo Municipality"
"PR, Penuelas",2022,Locally acquired,72111,1 to 4,1 to 4,"PR, Penuelas Municipality"
"PR, Quebradillas",2022,Locally acquired,72115,1 to 4,1 to 4,"PR, Quebradillas Municipality"
"PR, Sabana Grande",2022,Locally acquired,72121,1 to 4,1 to 4,"PR, Sabana Grande Municipality"
"PR, Salinas",2022,Locally acquired,72123,1 to 4,1 to 4,"PR, Salinas Municipality"
"PR, San Lorenzo",2022,Locally acquired,72129,1 to 4,1 to 4,"PR, San Lorenzo Municipality"
"PR, Santa Isabel",2022,Locally acquired,72133,1 to 4,1 to 4,"PR, Santa Isabel Municipality"
"PR, Vega Alta",2022,Locally acquired,72143,1 to 4,1 to 4,"PR, Vega Alta Municipality"
"PR, Vega Baja",2022,Locally acquired,72145,1 to 4,1 to 4,"PR, Vega Baja Municipality"
"PR, Aguadilla",2022,Locally acquired,72005,14,5 to 49,"PR, Aguadilla Municipality"
"PR, Aguas Buenas",2022,Locally acquired,72007,6,5 to 49,"PR, Aguas Buenas Municipality"
"PR, Anasco",2022,Locally acquired,72011,6,5 to 49,"PR, Anasco Municipality"
"PR, Arecibo",2022,Locally acquired,72013,31,5 to 49,"PR, Arecibo Municipality"
"PR, Barceloneta",2022,Locally acquired,72017,6,5 to 49,"PR, Barceloneta Municipality"
"PR, Cabo Rojo",2022,Locally acquired,72023,14,5 to 49,"PR, Cabo Rojo Municipality"
"PR, Caguas",2022,Locally acquired,72025,43,5 to 49,"PR, Caguas Municipality"
"PR, Camuy",2022,Locally acquired,72027,16,5 to 49,"PR, Camuy Municipality"
"PR, Carolina",2022,Locally acquired,72031,18,5 to 49,"PR, Carolina Municipality"
"PR, Catano",2022,Locally acquired,72033,43,5 to 49,"PR, Catano Municipality"
"PR, Comerio",2022,Locally acquired,72045,5,5 to 49,"PR, Comerio Municipality"
"PR, Corozal",2022,Locally acquired,72047,48,5 to 49,"PR, Corozal Municipality"
