FullGeoName,Year,Travel status,County,Count,Legend,Notes
"FL, Miami-Dade",2013,Locally acquired,12086,1 to 4,1 to 4,"FL, Miami-Dade County"
"FL, Palm Beach",2013,Locally acquired,12099,1 to 4,1 to 4,"FL, Palm Beach County"
"FL, St Lucie",2013,Locally acquired,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"NY, Suffolk",2013,Locally acquired,36103,1 to 4,1 to 4,"NY, Suffolk County"
"TX, Hidalgo",2013,Locally acquired,48215,1 to 4,1 to 4,"TX, Hidalgo County"
"TX, Willacy",2013,Locally acquired,48489,1 to 4,1 to 4,"TX, Willacy County"
"PR, Barranquitas",2013,Locally acquired,72019,1 to 4,1 to 4,"PR, Barranquitas Municipality"
"PR, Vieques",2013,Locally acquired,72147,1 to 4,1 to 4,"PR, Vieques Municipality"
"FL, Martin",2013,Locally acquired,12085,17,5 to 49,"FL, Martin County"
"TX, Cameron",2013,Locally acquired,48061,21,5 to 49,"TX, Cameron County"
"PR, Adjuntas",2013,Locally acquired,72001,20,5 to 49,"PR, Adjuntas Municipality"
"PR, Aguas Buenas",2013,Locally acquired,72007,24,5 to 49,"PR, Aguas Buenas Municipality"
"PR, Aibonito",2013,Locally acquired,72009,5,5 to 49,"PR, Aibonito Municipality"
"PR, Arroyo",2013,Locally acquired,72015,39,5 to 49,"PR, Arroyo Municipality"
"PR, Barceloneta",2013,Locally acquired,72017,31,5 to 49,"PR, Barceloneta Municipality"
"PR, Cayey",2013,Locally acquired,72035,32,5 to 49,"PR, Cayey Municipality"
"PR, Ceiba",2013,Locally acquired,72037,8,5 to 49,"PR, Ceiba Municipality"
"PR, Ciales Municipality",2013,Locally acquired,72039,8,5 to 49,"PR, Ciales Municipality"
"PR, Cidra",2013,Locally acquired,72041,18,5 to 49,"PR, Cidra Municipality"
"PR, Coamo",2013,Locally acquired,72043,10,5 to 49,"PR, Coamo Municipality"
"PR, Comerio",2013,Locally acquired,72045,46,5 to 49,"PR, Comerio Municipality"
"PR, Culebra",2013,Locally acquired,72049,17,5 to 49,"PR, Culebra Municipality"
"PR, Florida",2013,Locally acquired,72054,40,5 to 49,"PR, Florida Municipality"
"PR, Guanica",2013,Locally acquired,72055,19,5 to 49,"PR, Guanica Municipality"
"PR, Guayanilla",2013,Locally acquired,72059,10,5 to 49,"PR, Guayanilla Municipality"
"PR, Humacao Municipality",2013,Locally acquired,72069,41,5 to 49,"PR, Humacao Municipality"
"PR, Jayuya",2013,Locally acquired,72073,17,5 to 49,"PR, Jayuya Municipality"
"PR, Juana Diaz",2013,Locally acquired,72075,44,5 to 49,"PR, Juana Diaz Municipality"
"PR, Las Piedras",2013,Locally acquired,72085,35,5 to 49,"PR, Las Piedras Municipality"
"PR, Loiza",2013,Locally acquired,72087,21,5 to 49,"PR, Loiza Municipality"
"PR, Luquillo",2013,Locally acquired,72089,33,5 to 49,"PR, Luquillo Municipality"
"PR, Maricao",2013,Locally acquired,72093,25,5 to 49,"PR, Maricao Municipality"
"PR, Maunabo",2013,Locally acquired,72095,31,5 to 49,"PR, Maunabo Municipality"
"PR, Nabuabo",2013,Locally acquired,72103,30,5 to 49,"PR, Naguabo Municipality"
"PR, Orocovis",2013,Locally acquired,72107,5,5 to 49,"PR, Orocovis Municipality"
"PR, Penuelas",2013,Locally acquired,72111,6,5 to 49,"PR, Penuelas Municipality"
"PR, Sabana Grande",2013,Locally acquired,72121,48,5 to 49,"PR, Sabana Grande Municipality"
"PR, Salinas",2013,Locally acquired,72123,36,5 to 49,"PR, Salinas Municipality"
"PR, San Lorenzo",2013,Locally acquired,72129,44,5 to 49,"PR, San Lorenzo Municipality"
"PR, Santa Isabel",2013,Locally acquired,72133,27,5 to 49,"PR, Santa Isabel Municipality"
"PR, Yabucoa",2013,Locally acquired,72151,41,5 to 49,"PR, Yabucoa Municipality"
"PR, Yauco",2013,Locally acquired,72153,17,5 to 49,"PR, Yauco Municipality"
"VI, St. John",2013,Locally acquired,78020,10,5 to 49,"VI, Saint John Island"
"VI, St. Thomas",2013,Locally acquired,78030,25,5 to 49,"VI, Saint Thomas Island"
"PR, Camuy",2013,Locally acquired,72027,144,50 to 249,"PR, Camuy Municipality"
"PR, Canovanas",2013,Locally acquired,72029,68,50 to 249,"PR, Canovanas Municipality"
"PR, Catano",2013,Locally acquired,72033,64,50 to 249,"PR, Catano Municipality"
"PR, Corozal",2013,Locally acquired,72047,54,50 to 249,"PR, Corozal Municipality"
"PR, Dorado",2013,Locally acquired,72051,93,50 to 249,"PR, Dorado Municipality"
"PR, Fajardo",2013,Locally acquired,72053,58,50 to 249,"PR, Fajardo Municipality"
"PR, Guayama",2013,Locally acquired,72057,74,50 to 249,"PR, Guayama Municipality"
"PR, Guaynabo",2013,Locally acquired,72061,244,50 to 249,"PR, Guaynabo Municipality"
"PR, Gurabo",2013,Locally acquired,72063,80,50 to 249,"PR, Gurabo Municipality"
"PR, Hatillo",2013,Locally acquired,72065,82,50 to 249,"PR, Hatillo Municipality"
"PR, Hormigueros",2013,Locally acquired,72067,69,50 to 249,"PR, Hormigueros Municipality"
"PR, Juncos",2013,Locally acquired,72077,90,50 to 249,"PR, Juncos Municipality"
"PR, Lajas",2013,Locally acquired,72079,76,50 to 249,"PR, Lajas Municipality"
"PR, Lares",2013,Locally acquired,72081,116,50 to 249,"PR, Lares Municipality"
"PR, Las Marias",2013,Locally acquired,72083,77,50 to 249,"PR, Las Marias Municipality"
"PR, Manati",2013,Locally acquired,72091,51,50 to 249,"PR, Manati Municipality"
"PR, Morovis",2013,Locally acquired,72101,68,50 to 249,"PR, Morovis Municipality"
"PR, Naranjito",2013,Locally acquired,72105,99,50 to 249,"PR, Naranjito Municipality"
"PR, Patillas",2013,Locally acquired,72109,134,50 to 249,"PR, Patillas Municipality"
