FullGeoName,Year,Travel status,County,Count,Legend,Notes
"FL, Miami-Dade",2012,Locally acquired,12086,1 to 4,1 to 4,"FL, Miami-Dade County"
"FL, Osceola",2012,Locally acquired,12097,1 to 4,1 to 4,"FL, Osceola County"
"PR, Ceiba",2012,Locally acquired,72037,1 to 4,1 to 4,"PR, Ceiba Municipality"
"PR, Cidra",2012,Locally acquired,72041,1 to 4,1 to 4,"PR, Cidra Municipality"
"PR, Culebra",2012,Locally acquired,72049,1 to 4,1 to 4,"PR, Culebra Municipality"
"PR, Florida",2012,Locally acquired,72054,1 to 4,1 to 4,"PR, Florida Municipality"
"PR, Maunabo",2012,Locally acquired,72095,1 to 4,1 to 4,"PR, Maunabo Municipality"
"PR, Vieques",2012,Locally acquired,72147,1 to 4,1 to 4,"PR, Vieques Municipality"
"PR, Aguadilla",2012,Locally acquired,72005,19,5 to 49,"PR, Aguadilla Municipality"
"PR, Aguas Buenas",2012,Locally acquired,72007,11,5 to 49,"PR, Aguas Buenas Municipality"
"PR, Anasco",2012,Locally acquired,72011,19,5 to 49,"PR, Anasco Municipality"
"PR, Arroyo",2012,Locally acquired,72015,25,5 to 49,"PR, Arroyo Municipality"
"PR, Barceloneta",2012,Locally acquired,72017,27,5 to 49,"PR, Barceloneta Municipality"
"PR, Camuy",2012,Locally acquired,72027,28,5 to 49,"PR, Camuy Municipality"
"PR, Cayey",2012,Locally acquired,72035,15,5 to 49,"PR, Cayey Municipality"
"PR, Ciales Municipality",2012,Locally acquired,72039,19,5 to 49,"PR, Ciales Municipality"
"PR, Comerio",2012,Locally acquired,72045,9,5 to 49,"PR, Comerio Municipality"
"PR, Dorado",2012,Locally acquired,72051,32,5 to 49,"PR, Dorado Municipality"
"PR, Fajardo",2012,Locally acquired,72053,19,5 to 49,"PR, Fajardo Municipality"
"PR, Guayama",2012,Locally acquired,72057,28,5 to 49,"PR, Guayama Municipality"
"PR, Guayanilla",2012,Locally acquired,72059,44,5 to 49,"PR, Guayanilla Municipality"
"PR, Gurabo",2012,Locally acquired,72063,24,5 to 49,"PR, Gurabo Municipality"
"PR, Hatillo",2012,Locally acquired,72065,46,5 to 49,"PR, Hatillo Municipality"
"PR, Hormigueros",2012,Locally acquired,72067,35,5 to 49,"PR, Hormigueros Municipality"
"PR, Humacao Municipality",2012,Locally acquired,72069,29,5 to 49,"PR, Humacao Municipality"
"PR, Isabela",2012,Locally acquired,72071,10,5 to 49,"PR, Isabela Municipality"
"PR, Jayuya",2012,Locally acquired,72073,36,5 to 49,"PR, Jayuya Municipality"
"PR, Juncos",2012,Locally acquired,72077,29,5 to 49,"PR, Juncos Municipality"
"PR, Lajas",2012,Locally acquired,72079,21,5 to 49,"PR, Lajas Municipality"
"PR, Las Marias",2012,Locally acquired,72083,37,5 to 49,"PR, Las Marias Municipality"
"PR, Las Piedras",2012,Locally acquired,72085,24,5 to 49,"PR, Las Piedras Municipality"
