FullGeoName,Year,Travel status,County,Count,Legend,Notes
"FL, Hillsborough",2011,Locally acquired,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Martin",2011,Locally acquired,12085,1 to 4,1 to 4,"FL, Martin County"
"FL, Miami-Dade",2011,Locally acquired,12086,1 to 4,1 to 4,"FL, Miami-Dade County"
"FL, Palm Beach",2011,Locally acquired,12099,1 to 4,1 to 4,"FL, Palm Beach County"
"HI, Honolulu",2011,Locally acquired,15003,1 to 4,1 to 4,"HI, Honolulu, City and County of"
"PR, Anasco",2011,Locally acquired,72011,1 to 4,1 to 4,"PR, Anasco Municipality"
"PR, Arroyo",2011,Locally acquired,72015,1 to 4,1 to 4,"PR, Arroyo Municipality"
"PR, Barceloneta",2011,Locally acquired,72017,1 to 4,1 to 4,"PR, Barceloneta Municipality"
"PR, Cabo Rojo",2011,Locally acquired,72023,1 to 4,1 to 4,"PR, Cabo Rojo Municipality"
"PR, Ciales Municipality",2011,Locally acquired,72039,1 to 4,1 to 4,"PR, Ciales Municipality"
"PR, Cidra",2011,Locally acquired,72041,1 to 4,1 to 4,"PR, Cidra Municipality"
"PR, Comerio",2011,Locally acquired,72045,1 to 4,1 to 4,"PR, Comerio Municipality"
"PR, Florida",2011,Locally acquired,72054,1 to 4,1 to 4,"PR, Florida Municipality"
"PR, Hatillo",2011,Locally acquired,72065,1 to 4,1 to 4,"PR, Hatillo Municipality"
"PR, Juana Diaz",2011,Locally acquired,72075,1 to 4,1 to 4,"PR, Juana Diaz Municipality"
"PR, Lajas",2011,Locally acquired,72079,1 to 4,1 to 4,"PR, Lajas Municipality"
"PR, Las Marias",2011,Locally acquired,72083,1 to 4,1 to 4,"PR, Las Marias Municipality"
"PR, Maunabo",2011,Locally acquired,72095,1 to 4,1 to 4,"PR, Maunabo Municipality"
"PR, Morovis",2011,Locally acquired,72101,1 to 4,1 to 4,"PR, Morovis Municipality"
"PR, Orocovis",2011,Locally acquired,72107,1 to 4,1 to 4,"PR, Orocovis Municipality"
"PR, Penuelas",2011,Locally acquired,72111,1 to 4,1 to 4,"PR, Penuelas Municipality"
"PR, Salinas",2011,Locally acquired,72123,1 to 4,1 to 4,"PR, Salinas Municipality"
"PR, Santa Isabel",2011,Locally acquired,72133,1 to 4,1 to 4,"PR, Santa Isabel Municipality"
"PR, Vega Alta",2011,Locally acquired,72143,1 to 4,1 to 4,"PR, Vega Alta Municipality"
"PR, Vieques",2011,Locally acquired,72147,1 to 4,1 to 4,"PR, Vieques Municipality"
"PR, Adjuntas",2011,Locally acquired,72001,5,5 to 49,"PR, Adjuntas Municipality"
"PR, Aguada",2011,Locally acquired,72003,21,5 to 49,"PR, Aguada Municipality"
"PR, Aguadilla",2011,Locally acquired,72005,8,5 to 49,"PR, Aguadilla Municipality"
"PR, Aguas Buenas",2011,Locally acquired,72007,7,5 to 49,"PR, Aguas Buenas Municipality"
"PR, Arecibo",2011,Locally acquired,72013,12,5 to 49,"PR, Arecibo Municipality"
"PR, Caguas",2011,Locally acquired,72025,42,5 to 49,"PR, Caguas Municipality"
"PR, Camuy",2011,Locally acquired,72027,24,5 to 49,"PR, Camuy Municipality"
"PR, Canovanas",2011,Locally acquired,72029,24,5 to 49,"PR, Canovanas Municipality"
"PR, Catano",2011,Locally acquired,72033,32,5 to 49,"PR, Catano Municipality"
"PR, Cayey",2011,Locally acquired,72035,5,5 to 49,"PR, Cayey Municipality"
"PR, Corozal",2011,Locally acquired,72047,5,5 to 49,"PR, Corozal Municipality"
"PR, Dorado",2011,Locally acquired,72051,10,5 to 49,"PR, Dorado Municipality"
"PR, Fajardo",2011,Locally acquired,72053,14,5 to 49,"PR, Fajardo Municipality"
"PR, Guanica",2011,Locally acquired,72055,22,5 to 49,"PR, Guanica Municipality"
"PR, Guayama",2011,Locally acquired,72057,7,5 to 49,"PR, Guayama Municipality"
"PR, Humacao Municipality",2011,Locally acquired,72069,9,5 to 49,"PR, Humacao Municipality"
"PR, Isabela",2011,Locally acquired,72071,28,5 to 49,"PR, Isabela Municipality"
"PR, Juncos",2011,Locally acquired,72077,10,5 to 49,"PR, Juncos Municipality"
"PR, Lares",2011,Locally acquired,72081,6,5 to 49,"PR, Lares Municipality"
"PR, Las Piedras",2011,Locally acquired,72085,6,5 to 49,"PR, Las Piedras Municipality"
"PR, Loiza",2011,Locally acquired,72087,14,5 to 49,"PR, Loiza Municipality"
"PR, Luquillo",2011,Locally acquired,72089,5,5 to 49,"PR, Luquillo Municipality"
"PR, Manati",2011,Locally acquired,72091,6,5 to 49,"PR, Manati Municipality"
"PR, Maricao",2011,Locally acquired,72093,5,5 to 49,"PR, Maricao Municipality"
"PR, Mayaguez",2011,Locally acquired,72097,7,5 to 49,"PR, Mayaguez Municipality"
"PR, Moca",2011,Locally acquired,72099,35,5 to 49,"PR, Moca Municipality"
"PR, Naranjito",2011,Locally acquired,72105,7,5 to 49,"PR, Naranjito Municipality"
"PR, Patillas",2011,Locally acquired,72109,5,5 to 49,"PR, Patillas Municipality"
"PR, Ponce",2011,Locally acquired,72113,11,5 to 49,"PR, Ponce Municipality"
"PR, Quebradillas",2011,Locally acquired,72115,18,5 to 49,"PR, Quebradillas Municipality"
"PR, Rincon",2011,Locally acquired,72117,6,5 to 49,"PR, Rincon Municipality"
"PR, Rio Grande",2011,Locally acquired,72119,20,5 to 49,"PR, Rio Grande Municipality"
"PR, San Lorenzo",2011,Locally acquired,72129,13,5 to 49,"PR, San Lorenzo Municipality"
"PR, San Sabastian",2011,Locally acquired,72131,10,5 to 49,"PR, San Sebastian Municipality"
"PR, Toa Alta",2011,Locally acquired,72135,28,5 to 49,"PR, Toa Alta Municipality"
"PR, Toa Baja",2011,Locally acquired,72137,34,5 to 49,"PR, Toa Baja Municipality"
"PR, Trujillo Alto",2011,Locally acquired,72139,43,5 to 49,"PR, Trujillo Alto Municipality"
"PR, Utuado",2011,Locally acquired,72141,49,5 to 49,"PR, Utuado Municipality"
"PR, Vega Baja",2011,Locally acquired,72145,10,5 to 49,"PR, Vega Baja Municipality"
"PR, Yabucoa",2011,Locally acquired,72151,19,5 to 49,"PR, Yabucoa Municipality"
"PR, Yauco",2011,Locally acquired,72153,9,5 to 49,"PR, Yauco Municipality"
"PR, Bayamon",2011,Locally acquired,72021,86,50 to 249,"PR, Bayamon Municipality"
"PR, Carolina",2011,Locally acquired,72031,124,50 to 249,"PR, Carolina Municipality"
"PR, Guaynabo",2011,Locally acquired,72061,87,50 to 249,"PR, Guaynabo Municipality"
"PR, Gurabo",2011,Locally acquired,72063,59,50 to 249,"PR, Gurabo Municipality"
"PR, San Juan",2011,Locally acquired,72127,500,250+,"PR, San Juan Municipality"
