FullGeoName,Year,Travel status,County,Count,Legend,Notes
"PR, Adjuntas",2014,Locally acquired,72001,1 to 4,1 to 4,"PR, Adjuntas Municipality"
"PR, Aguada",2014,Locally acquired,72003,1 to 4,1 to 4,"PR, Aguada Municipality"
"PR, Barceloneta",2014,Locally acquired,72017,1 to 4,1 to 4,"PR, Barceloneta Municipality"
"PR, Camuy",2014,Locally acquired,72027,1 to 4,1 to 4,"PR, Camuy Municipality"
"PR, Cayey",2014,Locally acquired,72035,1 to 4,1 to 4,"PR, Cayey Municipality"
"PR, Ciales Municipality",2014,Locally acquired,72039,1 to 4,1 to 4,"PR, Ciales Municipality"
"PR, Cidra",2014,Locally acquired,72041,1 to 4,1 to 4,"PR, Cidra Municipality"
"PR, Coamo",2014,Locally acquired,72043,1 to 4,1 to 4,"PR, Coamo Municipality"
"PR, Comerio",2014,Locally acquired,72045,1 to 4,1 to 4,"PR, Comerio Municipality"
"PR, Corozal",2014,Locally acquired,72047,1 to 4,1 to 4,"PR, Corozal Municipality"
"PR, Fajardo",2014,Locally acquired,72053,1 to 4,1 to 4,"PR, Fajardo Municipality"
"PR, Florida",2014,Locally acquired,72054,1 to 4,1 to 4,"PR, Florida Municipality"
"PR, Guayanilla",2014,Locally acquired,72059,1 to 4,1 to 4,"PR, Guayanilla Municipality"
"PR, Hatillo",2014,Locally acquired,72065,1 to 4,1 to 4,"PR, Hatillo Municipality"
"PR, Hormigueros",2014,Locally acquired,72067,1 to 4,1 to 4,"PR, Hormigueros Municipality"
"PR, Juana Diaz",2014,Locally acquired,72075,1 to 4,1 to 4,"PR, Juana Diaz Municipality"
"PR, Juncos",2014,Locally acquired,72077,1 to 4,1 to 4,"PR, Juncos Municipality"
"PR, Lajas",2014,Locally acquired,72079,1 to 4,1 to 4,"PR, Lajas Municipality"
"PR, Loiza",2014,Locally acquired,72087,1 to 4,1 to 4,"PR, Loiza Municipality"
"PR, Luquillo",2014,Locally acquired,72089,1 to 4,1 to 4,"PR, Luquillo Municipality"
"PR, Maunabo",2014,Locally acquired,72095,1 to 4,1 to 4,"PR, Maunabo Municipality"
"PR, Nabuabo",2014,Locally acquired,72103,1 to 4,1 to 4,"PR, Naguabo Municipality"
"PR, Naranjito",2014,Locally acquired,72105,1 to 4,1 to 4,"PR, Naranjito Municipality"
"PR, Orocovis",2014,Locally acquired,72107,1 to 4,1 to 4,"PR, Orocovis Municipality"
"PR, Quebradillas",2014,Locally acquired,72115,1 to 4,1 to 4,"PR, Quebradillas Municipality"
"PR, Rincon",2014,Locally acquired,72117,1 to 4,1 to 4,"PR, Rincon Municipality"
"PR, Sabana Grande",2014,Locally acquired,72121,1 to 4,1 to 4,"PR, Sabana Grande Municipality"
"PR, San German",2014,Locally acquired,72125,1 to 4,1 to 4,"PR, San German Municipality"
"PR, San Lorenzo",2014,Locally acquired,72129,1 to 4,1 to 4,"PR, San Lorenzo Municipality"
"PR, San Sabastian",2014,Locally acquired,72131,1 to 4,1 to 4,"PR, San Sebastian Municipality"
"PR, Santa Isabel",2014,Locally acquired,72133,1 to 4,1 to 4,"PR, Santa Isabel Municipality"
"PR, Vega Alta",2014,Locally acquired,72143,1 to 4,1 to 4,"PR, Vega Alta Municipality"
"PR, Yabucoa",2014,Locally acquired,72151,1 to 4,1 to 4,"PR, Yabucoa Municipality"
"PR, Yauco",2014,Locally acquired,72153,1 to 4,1 to 4,"PR, Yauco Municipality"
"VI, St. Thomas",2014,Locally acquired,78030,1 to 4,1 to 4,"VI, Saint Thomas Island"
"FL, Miami-Dade",2014,Locally acquired,12086,7,5 to 49,"FL, Miami-Dade County"
"PR, Aguadilla",2014,Locally acquired,72005,6,5 to 49,"PR, Aguadilla Municipality"
"PR, Arecibo",2014,Locally acquired,72013,9,5 to 49,"PR, Arecibo Municipality"
"PR, Arroyo",2014,Locally acquired,72015,9,5 to 49,"PR, Arroyo Municipality"
"PR, Bayamon",2014,Locally acquired,72021,35,5 to 49,"PR, Bayamon Municipality"
"PR, Cabo Rojo",2014,Locally acquired,72023,6,5 to 49,"PR, Cabo Rojo Municipality"
"PR, Caguas",2014,Locally acquired,72025,16,5 to 49,"PR, Caguas Municipality"
"PR, Canovanas",2014,Locally acquired,72029,11,5 to 49,"PR, Canovanas Municipality"
"PR, Carolina",2014,Locally acquired,72031,29,5 to 49,"PR, Carolina Municipality"
"PR, Catano",2014,Locally acquired,72033,8,5 to 49,"PR, Catano Municipality"
"PR, Dorado",2014,Locally acquired,72051,13,5 to 49,"PR, Dorado Municipality"
"PR, Guanica",2014,Locally acquired,72055,10,5 to 49,"PR, Guanica Municipality"
"PR, Guayama",2014,Locally acquired,72057,7,5 to 49,"PR, Guayama Municipality"
"PR, Guaynabo",2014,Locally acquired,72061,11,5 to 49,"PR, Guaynabo Municipality"
"PR, Humacao Municipality",2014,Locally acquired,72069,9,5 to 49,"PR, Humacao Municipality"
"PR, Isabela",2014,Locally acquired,72071,10,5 to 49,"PR, Isabela Municipality"
"PR, Lares",2014,Locally acquired,72081,27,5 to 49,"PR, Lares Municipality"
"PR, Las Piedras",2014,Locally acquired,72085,9,5 to 49,"PR, Las Piedras Municipality"
"PR, Manati",2014,Locally acquired,72091,38,5 to 49,"PR, Manati Municipality"
"PR, Maricao",2014,Locally acquired,72093,6,5 to 49,"PR, Maricao Municipality"
"PR, Mayaguez",2014,Locally acquired,72097,9,5 to 49,"PR, Mayaguez Municipality"
"PR, Moca",2014,Locally acquired,72099,8,5 to 49,"PR, Moca Municipality"
"PR, Morovis",2014,Locally acquired,72101,15,5 to 49,"PR, Morovis Municipality"
"PR, Patillas",2014,Locally acquired,72109,10,5 to 49,"PR, Patillas Municipality"
"PR, Ponce",2014,Locally acquired,72113,5,5 to 49,"PR, Ponce Municipality"
"PR, Rio Grande",2014,Locally acquired,72119,7,5 to 49,"PR, Rio Grande Municipality"
"PR, Salinas",2014,Locally acquired,72123,6,5 to 49,"PR, Salinas Municipality"
"PR, San Juan",2014,Locally acquired,72127,45,5 to 49,"PR, San Juan Municipality"
"PR, Toa Alta",2014,Locally acquired,72135,12,5 to 49,"PR, Toa Alta Municipality"
"PR, Toa Baja",2014,Locally acquired,72137,6,5 to 49,"PR, Toa Baja Municipality"
"PR, Trujillo Alto",2014,Locally acquired,72139,8,5 to 49,"PR, Trujillo Alto Municipality"
"PR, Utuado",2014,Locally acquired,72141,23,5 to 49,"PR, Utuado Municipality"
"PR, Vega Baja",2014,Locally acquired,72145,15,5 to 49,"PR, Vega Baja Municipality"
"VI, St. Croix",2014,Locally acquired,78010,16,5 to 49,"VI, Saint Croix Island"
